timestamp;status;request_time;upstream_response_time
1558594328.743;502;0.006;0.004, 0.000, 0.000, 0.004
1558594328.783;502;0.004;0.000, 0.000, 0.004, 0.000
1558594328.788;502;0.003;0.000, 0.000, 0.000, 0.000
1558594328.797;502;0.004;0.004, 0.000, 0.000, 0.004
1558594328.805;502;0.005;0.000, 0.004, 0.000, 0.000
1558594328.810;502;0.003;0.000, 0.000, 0.000, 0.004
1558594328.818;502;0.006;0.004, 0.000, 0.004, 0.000
1558594328.840;502;0.004;0.000, 0.000, 0.004, 0.000
1558594328.844;502;0.002;0.000, 0.000, 0.000, 0.000
1558594328.848;502;0.003;0.000, 0.000, 0.000, 0.000
1558594328.856;502;0.003;0.004, 0.000, 0.000, 0.000
1558594328.859;502;0.002;0.000, 0.000, 0.000, 0.000
1558594328.865;502;0.004;0.004, 0.000, 0.000, 0.000
1558594328.869;502;0.001;0.000, 0.000, 0.000, 0.004
1558594328.873;502;0.002;0.000, 0.000, 0.000, 0.004
1558594328.882;502;0.002;0.000, 0.000, 0.004, 0.000
1558594328.889;502;0.005;0.000, 0.004, 0.000, 0.000
1558594328.894;502;0.002;0.000, 0.000, 0.000, 0.004
1558594328.900;502;0.004;0.000, 0.004, 0.000, 0.000
1558594328.905;502;0.002;0.000, 0.000, 0.000, 0.000
1558594328.909;502;0.002;0.000, 0.000, 0.000, 0.004
1558594328.917;502;0.004;0.000, 0.000, 0.000, 0.000
1558594328.921;502;0.002;0.000, 0.000, 0.000, 0.004
1558594328.928;502;0.003;0.000, 0.004, 0.000, 0.000
1558594328.933;502;0.002;0.000, 0.000, 0.000, 0.000
1558594328.937;502;0.002;0.000, 0.000, 0.000, 0.000
1558594328.944;502;0.003;0.004, 0.000, 0.000, 0.000
1558594328.951;502;0.006;0.000, 0.000, 0.004, 0.000
1558594328.955;502;0.003;0.000, 0.000, 0.004, 0.000
1558594328.962;502;0.005;0.000, 0.004, 0.000, 0.004
1558594328.965;502;0.002;0.000, 0.000, 0.004, 0.000
1558594328.969;502;0.001;0.000, 0.000, 0.000, 0.004
1558594328.978;502;0.002;0.000, 0.000, 0.004, 0.000
1558594328.985;502;0.005;0.000, 0.000, 0.004, 0.000
1558594328.991;502;0.004;0.000, 0.004, 0.000, 0.000
1558594328.996;502;0.004;0.000, 0.000, 0.004, 0.000
1558594329.000;502;0.003;0.000, 0.000, 0.000, 0.000
1558594329.005;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.013;502;0.004;0.004, 0.000, 0.000, 0.000
1558594329.016;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.023;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.027;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.032;502;0.003;0.004, 0.000, 0.000, 0.000
1558594329.038;502;0.005;0.000, 0.000, 0.004, 0.000
1558594329.042;502;0.002;0.000, 0.000, 0.004, 0.000
1558594329.045;502;0.002;0.000, 0.000, 0.000, 0.004
1558594329.052;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.060;502;0.004;0.000, 0.000, 0.004, 0.000
1558594329.064;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.071;502;0.005;0.000, 0.000, 0.004, 0.000
1558594329.074;502;0.002;0.000, 0.004, 0.000, 0.000
1558594329.077;502;0.001;0.000, 0.000, 0.000, 0.004
1558594329.087;502;0.005;0.000, 0.004, 0.000, 0.000
1558594329.092;502;0.004;0.000, 0.000, 0.004, 0.000
1558594329.097;502;0.003;0.000, 0.000, 0.000, 0.000
1558594329.101;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.108;502;0.004;0.000, 0.004, 0.000, 0.000
1558594329.111;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.117;502;0.004;0.004, 0.000, 0.000, 0.000
1558594329.121;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.125;502;0.002;0.000, 0.000, 0.000, 0.000
1558594329.131;502;0.003;0.000, 0.000, 0.004, 0.000
1558594329.135;502;0.003;0.000, 0.004, 0.000, 0.000
1558594329.141;502;0.004;0.004, 0.000, 0.000, 0.004
