[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-18 00:44:50:404 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-18 00:45:00:339 10 sec: 12 operations; 1.2 current ops/sec; est completion in 1 hour 9 minutes [READ: Count=12, Max=887807, Min=707584, Avg=788864, 90=868351, 99=887807, 99.9=887807, 99.99=887807] 
2019-05-18 00:45:10:335 20 sec: 24 operations; 1.2 current ops/sec; est completion in 1 hour 9 minutes [READ: Count=12, Max=878079, Min=721920, Avg=787285.33, 90=868351, 99=878079, 99.9=878079, 99.99=878079] 
2019-05-18 00:45:20:338 30 sec: 37 operations; 1.3 current ops/sec; est completion in 1 hour 7 minutes [READ: Count=13, Max=895487, Min=729600, Avg=788027.08, 90=861695, 99=895487, 99.9=895487, 99.99=895487] 
2019-05-18 00:45:30:335 40 sec: 50 operations; 1.3 current ops/sec; est completion in 1 hour 6 minutes [READ: Count=13, Max=864767, Min=713728, Avg=781056, 90=863743, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-18 00:45:40:335 50 sec: 62 operations; 1.2 current ops/sec; est completion in 1 hour 6 minutes [READ: Count=12, Max=864767, Min=728576, Avg=794794.67, 90=862207, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-18 00:45:50:336 60 sec: 75 operations; 1.3 current ops/sec; est completion in 1 hour 5 minutes [READ: Count=13, Max=915455, Min=721920, Avg=785782.15, 90=888319, 99=915455, 99.9=915455, 99.99=915455] 
2019-05-18 00:46:00:335 70 sec: 88 operations; 1.3 current ops/sec; est completion in 1 hour 5 minutes [READ: Count=13, Max=878591, Min=688128, Avg=776290.46, 90=859647, 99=878591, 99.9=878591, 99.99=878591] 
2019-05-18 00:46:10:335 80 sec: 101 operations; 1.3 current ops/sec; est completion in 1 hour 4 minutes [READ: Count=13, Max=868351, Min=658432, Avg=777078.15, 90=855551, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-18 00:46:20:335 90 sec: 114 operations; 1.3 current ops/sec; est completion in 1 hour 4 minutes [READ: Count=13, Max=903679, Min=722944, Avg=784049.23, 90=845823, 99=903679, 99.9=903679, 99.99=903679] 
2019-05-18 00:46:30:335 100 sec: 126 operations; 1.2 current ops/sec; est completion in 1 hour 4 minutes [READ: Count=12, Max=856575, Min=721920, Avg=781824, 90=851455, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-18 00:46:40:336 110 sec: 139 operations; 1.3 current ops/sec; est completion in 1 hour 4 minutes [READ: Count=13, Max=882175, Min=708096, Avg=780347.08, 90=861695, 99=882175, 99.9=882175, 99.99=882175] 
2019-05-18 00:46:50:336 120 sec: 152 operations; 1.3 current ops/sec; est completion in 1 hour 3 minutes [READ: Count=13, Max=892927, Min=704512, Avg=788736, 90=872447, 99=892927, 99.9=892927, 99.99=892927] 
2019-05-18 00:47:00:336 130 sec: 165 operations; 1.3 current ops/sec; est completion in 1 hour 3 minutes [READ: Count=13, Max=873471, Min=711680, Avg=783025.23, 90=847871, 99=873471, 99.9=873471, 99.99=873471] 
2019-05-18 00:47:10:335 140 sec: 177 operations; 1.2 current ops/sec; est completion in 1 hour 3 minutes [READ: Count=12, Max=863231, Min=738816, Avg=791168, 90=855039, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-18 00:47:20:335 150 sec: 190 operations; 1.3 current ops/sec; est completion in 1 hour 3 minutes [READ: Count=13, Max=903679, Min=696320, Avg=798070.15, 90=887295, 99=903679, 99.9=903679, 99.99=903679] 
2019-05-18 00:47:30:335 160 sec: 203 operations; 1.3 current ops/sec; est completion in 1 hour 3 minutes [READ: Count=13, Max=876543, Min=707072, Avg=780977.23, 90=841215, 99=876543, 99.9=876543, 99.99=876543] 
2019-05-18 00:47:40:335 170 sec: 215 operations; 1.2 current ops/sec; est completion in 1 hour 3 minutes [READ: Count=12, Max=883711, Min=729600, Avg=800298.67, 90=845311, 99=883711, 99.9=883711, 99.99=883711] 
2019-05-18 00:47:50:335 180 sec: 228 operations; 1.3 current ops/sec; est completion in 1 hour 2 minutes [READ: Count=13, Max=891903, Min=714240, Avg=792438.15, 90=884223, 99=891903, 99.9=891903, 99.99=891903] 
2019-05-18 00:48:00:335 190 sec: 240 operations; 1.2 current ops/sec; est completion in 1 hour 2 minutes [READ: Count=12, Max=859647, Min=745472, Avg=781909.33, 90=856575, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-18 00:48:10:335 200 sec: 253 operations; 1.3 current ops/sec; est completion in 1 hour 2 minutes [READ: Count=13, Max=857599, Min=732672, Avg=790941.54, 90=845311, 99=857599, 99.9=857599, 99.99=857599] 
2019-05-18 00:48:20:336 210 sec: 266 operations; 1.3 current ops/sec; est completion in 1 hour 2 minutes [READ: Count=13, Max=851967, Min=694272, Avg=790784, 90=830975, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-18 00:48:30:335 220 sec: 278 operations; 1.2 current ops/sec; est completion in 1 hour 2 minutes [READ: Count=12, Max=884223, Min=730624, Avg=800853.33, 90=852991, 99=884223, 99.9=884223, 99.99=884223] 
2019-05-18 00:48:40:335 230 sec: 291 operations; 1.3 current ops/sec; est completion in 1 hour 2 minutes [READ: Count=13, Max=873983, Min=751616, Avg=801614.77, 90=858623, 99=873983, 99.9=873983, 99.99=873983] 
2019-05-18 00:48:50:335 240 sec: 303 operations; 1.2 current ops/sec; est completion in 1 hour 2 minutes [READ: Count=12, Max=864767, Min=737792, Avg=794538.67, 90=860159, 99=864767, 99.9=864767, 99.99=864767] 
