timestamp;status;request_time;upstream_response_time
1557956812.884;200;0.768;0.772
1557956813.712;200;0.780;0.780
1557956814.436;200;0.715;0.716
1557956815.284;200;0.843;0.844
1557956816.155;200;0.866;0.868
1557956816.899;200;0.740;0.740
1557956817.629;200;0.707;0.708
1557956818.455;200;0.821;0.820
1557956819.204;200;0.746;0.748
1557956819.947;200;0.739;0.740
1557956820.654;200;0.704;0.704
1557956821.468;200;0.809;0.812
1557956822.235;200;0.760;0.760
1557956822.974;200;0.735;0.736
1557956823.724;200;0.745;0.744
1557956824.573;200;0.842;0.844
1557956825.352;200;0.775;0.776
1557956826.092;200;0.737;0.736
1557956826.787;200;0.692;0.692
1557956827.610;200;0.819;0.820
1557956828.375;200;0.758;0.760
1557956829.104;200;0.726;0.728
1557956829.739;200;0.631;0.632
1557956830.561;200;0.818;0.820
1557956831.322;200;0.757;0.760
1557956832.052;200;0.725;0.728
1557956832.729;200;0.671;0.668
1557956833.622;200;0.887;0.888
1557956834.367;200;0.741;0.740
1557956835.100;200;0.729;0.732
1557956835.840;200;0.735;0.740
1557956836.640;200;0.795;0.800
1557956837.399;200;0.744;0.744
1557956838.124;200;0.720;0.720
1557956838.860;200;0.731;0.728
1557956839.705;200;0.842;0.844
1557956840.459;200;0.750;0.752
1557956841.200;200;0.736;0.736
1557956841.960;200;0.754;0.756
1557956842.781;200;0.816;0.812
1557956843.531;200;0.746;0.748
1557956844.272;200;0.739;0.736
1557956845.011;200;0.734;0.736
1557956845.827;200;0.813;0.812
1557956846.602;200;0.772;0.772
1557956847.351;200;0.746;0.744
1557956848.038;200;0.685;0.688
1557956848.888;200;0.847;0.852
1557956849.649;200;0.758;0.760
1557956850.387;200;0.735;0.736
1557956851.103;200;0.712;0.712
1557956851.938;200;0.832;0.832
1557956852.699;200;0.755;0.756
1557956853.434;200;0.732;0.732
1557956854.214;200;0.777;0.780
1557956855.047;200;0.829;0.828
1557956855.814;200;0.766;0.768
1557956856.596;200;0.780;0.780
1557956857.301;200;0.702;0.704
1557956858.156;200;0.851;0.852
1557956858.895;200;0.736;0.736
1557956859.632;200;0.734;0.736
1557956860.360;200;0.726;0.728
1557956861.149;200;0.784;0.788
1557956861.893;200;0.741;0.744
1557956862.630;200;0.730;0.732
1557956863.334;200;0.697;0.696
1557956864.168;200;0.832;0.832
1557956864.897;200;0.726;0.728
1557956865.643;200;0.743;0.744
1557956866.346;200;0.700;0.700
1557956867.187;200;0.835;0.836
1557956867.954;200;0.761;0.764
1557956868.684;200;0.727;0.724
1557956869.400;200;0.713;0.716
1557956870.213;200;0.810;0.812
1557956870.957;200;0.741;0.744
1557956871.692;200;0.731;0.732
1557956872.403;200;0.706;0.708
1557956873.229;200;0.823;0.824
1557956873.997;200;0.765;0.768
1557956874.712;200;0.711;0.716
1557956875.405;200;0.689;0.688
1557956876.236;200;0.806;0.804
1557956877.005;200;0.765;0.768
1557956877.755;200;0.746;0.744
1557956878.460;200;0.703;0.704
1557956879.227;200;0.764;0.764
1557956879.984;200;0.754;0.752
1557956880.707;200;0.720;0.720
1557956881.422;200;0.712;0.712
1557956882.204;200;0.779;0.780
1557956882.965;200;0.758;0.760
1557956883.710;200;0.742;0.744
1557956884.425;200;0.712;0.716
1557956885.229;200;0.798;0.800
1557956885.964;200;0.727;0.732
1557956886.715;200;0.749;0.748
1557956887.428;200;0.711;0.716
1557956888.244;200;0.812;0.812
1557956889.013;200;0.762;0.764
1557956889.756;200;0.740;0.744
1557956890.491;200;0.731;0.732
1557956891.251;200;0.758;0.760
1557956891.999;200;0.746;0.748
1557956892.758;200;0.754;0.756
1557956893.461;200;0.700;0.704
1557956894.273;200;0.810;0.812
1557956895.023;200;0.746;0.748
1557956895.763;200;0.737;0.736
1557956896.498;200;0.733;0.736
1557956897.303;200;0.801;0.800
1557956898.082;200;0.776;0.776
1557956898.810;200;0.724;0.724
1557956899.533;200;0.719;0.720
1557956900.337;200;0.801;0.804
1557956901.074;200;0.735;0.736
1557956901.836;200;0.759;0.756
1557956902.555;200;0.715;0.716
1557956903.365;200;0.806;0.808
1557956904.172;200;0.804;0.804
1557956904.896;200;0.722;0.724
1557956905.598;200;0.699;0.700
1557956906.416;200;0.815;0.816
1557956907.183;200;0.762;0.764
1557956907.916;200;0.730;0.728
1557956908.631;200;0.712;0.712
1557956909.493;200;0.858;0.860
1557956910.267;200;0.770;0.772
1557956910.984;200;0.713;0.712
1557956911.729;200;0.743;0.744
1557956912.541;200;0.809;0.812
1557956913.323;200;0.779;0.780
1557956914.088;200;0.761;0.764
1557956914.810;200;0.719;0.720
1557956915.608;200;0.795;0.796
1557956916.353;200;0.744;0.744
1557956917.122;200;0.767;0.768
1557956917.865;200;0.740;0.744
1557956918.649;200;0.781;0.784
1557956919.387;200;0.736;0.736
1557956920.119;200;0.730;0.728
1557956920.854;200;0.732;0.732
1557956921.679;200;0.822;0.820
1557956922.430;200;0.748;0.748
1557956923.192;200;0.759;0.760
1557956923.916;200;0.721;0.724
1557956924.749;200;0.829;0.832
1557956925.533;200;0.781;0.784
1557956926.252;200;0.714;0.716
1557956927.027;200;0.772;0.772
1557956927.829;200;0.800;0.800
1557956928.572;200;0.740;0.740
1557956929.281;200;0.706;0.708
1557956929.994;200;0.699;0.700
1557956930.811;200;0.814;0.816
1557956931.621;200;0.808;0.812
1557956932.349;200;0.725;0.728
1557956933.117;200;0.763;0.764
1557956933.915;200;0.794;0.792
1557956934.680;200;0.763;0.764
1557956935.418;200;0.733;0.736
1557956936.118;200;0.697;0.700
1557956936.939;200;0.817;0.816
1557956937.691;200;0.749;0.748
1557956938.445;200;0.752;0.748
1557956939.198;200;0.749;0.752
1557956940.016;200;0.815;0.812
1557956940.774;200;0.756;0.756
1557956941.496;200;0.719;0.716
1557956942.257;200;0.759;0.760
1557956943.059;200;0.797;0.796
1557956943.803;200;0.739;0.740
1557956944.553;200;0.748;0.748
1557956945.269;200;0.712;0.716
1557956946.067;200;0.796;0.796
1557956946.825;200;0.756;0.760
1557956947.546;200;0.719;0.720
1557956948.309;200;0.761;0.764
1557956949.091;200;0.778;0.780
1557956949.830;200;0.737;0.740
1557956950.565;200;0.733;0.736
1557956951.331;200;0.763;0.764
1557956952.164;200;0.830;0.828
1557956952.919;200;0.751;0.752
1557956953.681;200;0.758;0.760
1557956954.322;200;0.638;0.640
1557956955.121;200;0.796;0.800
1557956955.882;200;0.759;0.760
1557956956.618;200;0.733;0.732
1557956957.349;200;0.727;0.728
1557956958.149;200;0.797;0.800
1557956958.879;200;0.726;0.728
1557956959.621;200;0.739;0.740
1557956960.325;200;0.702;0.704
1557956961.147;200;0.819;0.820
1557956961.921;200;0.772;0.776
1557956962.654;200;0.728;0.728
1557956963.346;200;0.689;0.692
1557956964.156;200;0.808;0.812
1557956964.919;200;0.756;0.756
1557956965.652;200;0.730;0.728
1557956966.344;200;0.690;0.692
