timestamp;status;request_time;upstream_response_time
1558645296.192;200;0.772;0.772
1558645296.978;200;0.748;0.748
1558645297.801;200;0.820;0.820
1558645298.700;200;0.895;0.900
1558645299.569;200;0.864;0.868
1558645300.360;200;0.787;0.792
1558645301.210;200;0.828;0.828
1558645302.113;200;0.900;0.904
1558645302.910;200;0.791;0.792
1558645303.662;200;0.749;0.752
1558645304.557;200;0.891;0.888
1558645305.386;200;0.826;0.828
1558645306.258;200;0.867;0.868
1558645306.954;200;0.693;0.692
1558645307.731;200;0.773;0.776
1558645308.671;200;0.936;0.940
1558645309.372;200;0.697;0.700
1558645310.140;200;0.763;0.764
1558645310.985;200;0.839;0.840
1558645311.784;200;0.795;0.800
1558645312.678;200;0.889;0.892
1558645313.435;200;0.753;0.756
1558645314.213;200;0.775;0.776
1558645315.154;200;0.937;0.940
1558645315.841;200;0.682;0.684
1558645316.651;200;0.804;0.808
1558645317.509;200;0.853;0.852
1558645318.398;200;0.884;0.884
1558645319.217;200;0.815;0.816
1558645320.022;200;0.802;0.804
1558645320.793;200;0.767;0.768
1558645321.703;200;0.906;0.908
1558645322.538;200;0.832;0.832
1558645323.332;200;0.790;0.792
1558645324.157;200;0.821;0.824
1558645324.983;200;0.823;0.828
1558645325.874;200;0.888;0.888
1558645326.622;200;0.741;0.740
1558645327.407;200;0.782;0.784
1558645328.373;200;0.962;0.964
1558645329.135;200;0.760;0.764
1558645329.970;200;0.832;0.832
1558645330.874;200;0.901;0.900
1558645331.683;200;0.805;0.804
1558645332.565;200;0.878;0.876
1558645333.252;200;0.685;0.688
1558645334.027;200;0.772;0.772
1558645334.917;200;0.886;0.888
1558645335.699;200;0.779;0.784
1558645336.578;200;0.875;0.876
1558645337.322;200;0.740;0.740
1558645338.155;200;0.829;0.828
1558645338.965;200;0.807;0.808
1558645339.715;200;0.747;0.752
1558645340.477;200;0.758;0.760
1558645341.311;200;0.830;0.832
1558645342.156;200;0.841;0.844
1558645342.943;200;0.783;0.784
1558645343.786;200;0.836;0.836
1558645344.579;200;0.789;0.788
1558645345.503;200;0.922;0.920
1558645346.242;200;0.734;0.736
1558645346.996;200;0.751;0.752
1558645347.823;200;0.823;0.824
