[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-31 16:54:49:923 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-31 16:54:59:851 10 sec: 10 operations; 1 current ops/sec; est completion in 16 minutes [READ: Count=10, Max=1431551, Min=738816, Avg=874214.4, 90=1001471, 99=1431551, 99.9=1431551, 99.99=1431551] 
2019-05-31 16:55:09:846 20 sec: 22 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=1266687, Min=708096, Avg=857237.33, 90=1018879, 99=1266687, 99.9=1266687, 99.99=1266687] 
2019-05-31 16:55:19:846 30 sec: 34 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=1354751, Min=716288, Avg=871829.33, 90=901119, 99=1354751, 99.9=1354751, 99.99=1354751] 
2019-05-31 16:55:29:846 40 sec: 45 operations; 1.1 current ops/sec; est completion in 14 minutes [READ: Count=11, Max=1354751, Min=721408, Avg=857646.55, 90=880127, 99=1354751, 99.9=1354751, 99.99=1354751] 
2019-05-31 16:55:39:847 50 sec: 57 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=924159, Min=741888, Avg=816128, 90=880127, 99=924159, 99.9=924159, 99.99=924159] 
2019-05-31 16:55:49:846 60 sec: 69 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=1263615, Min=705536, Avg=839701.33, 90=877567, 99=1263615, 99.9=1263615, 99.99=1263615] 
2019-05-31 16:55:59:847 70 sec: 81 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=1220607, Min=730624, Avg=862421.33, 90=1078271, 99=1220607, 99.9=1220607, 99.99=1220607] 
2019-05-31 16:56:09:846 80 sec: 92 operations; 1.1 current ops/sec; est completion in 13 minutes [READ: Count=11, Max=1367039, Min=745472, Avg=864814.55, 90=906239, 99=1367039, 99.9=1367039, 99.99=1367039] 
2019-05-31 16:56:19:846 90 sec: 104 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=1363967, Min=750592, Avg=857109.33, 90=859647, 99=1363967, 99.9=1363967, 99.99=1363967] 
2019-05-31 16:56:29:847 100 sec: 116 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=1266687, Min=723968, Avg=858688, 90=905727, 99=1266687, 99.9=1266687, 99.99=1266687] 
2019-05-31 16:56:39:847 110 sec: 128 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=1267711, Min=751616, Avg=844565.33, 90=876543, 99=1267711, 99.9=1267711, 99.99=1267711] 
2019-05-31 16:56:49:846 120 sec: 139 operations; 1.1 current ops/sec; est completion in 12 minutes [READ: Count=11, Max=880639, Min=772608, Avg=828066.91, 90=862207, 99=880639, 99.9=880639, 99.99=880639] 
2019-05-31 16:56:59:847 130 sec: 151 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=1371135, Min=725504, Avg=849813.33, 90=913407, 99=1371135, 99.9=1371135, 99.99=1371135] 
2019-05-31 16:57:09:847 140 sec: 163 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=1333247, Min=728576, Avg=884053.33, 90=1193983, 99=1333247, 99.9=1333247, 99.99=1333247] 
2019-05-31 16:57:19:846 150 sec: 174 operations; 1.1 current ops/sec; est completion in 11 minutes [READ: Count=11, Max=1284095, Min=718336, Avg=866676.36, 90=910847, 99=1284095, 99.9=1284095, 99.99=1284095] 
2019-05-31 16:57:29:846 160 sec: 186 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=1299455, Min=727040, Avg=848426.67, 90=1116159, 99=1299455, 99.9=1299455, 99.99=1299455] 
2019-05-31 16:57:39:846 170 sec: 198 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=1370111, Min=732672, Avg=832448, 90=919039, 99=1370111, 99.9=1370111, 99.99=1370111] 
2019-05-31 16:57:49:847 180 sec: 209 operations; 1.1 current ops/sec; est completion in 11 minutes [READ: Count=11, Max=1357823, Min=719872, Avg=873192.73, 90=898559, 99=1357823, 99.9=1357823, 99.99=1357823] 
2019-05-31 16:57:59:846 190 sec: 221 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=1210367, Min=736768, Avg=855530.67, 90=932863, 99=1210367, 99.9=1210367, 99.99=1210367] 
2019-05-31 16:58:09:846 200 sec: 233 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=1165311, Min=717824, Avg=837525.33, 90=870399, 99=1165311, 99.9=1165311, 99.99=1165311] 
2019-05-31 16:58:19:846 210 sec: 245 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=1307647, Min=715264, Avg=863765.33, 90=902655, 99=1307647, 99.9=1307647, 99.99=1307647] 
2019-05-31 16:58:29:846 220 sec: 256 operations; 1.1 current ops/sec; est completion in 10 minutes [READ: Count=11, Max=1292287, Min=723456, Avg=875333.82, 90=930303, 99=1292287, 99.9=1292287, 99.99=1292287] 
2019-05-31 16:58:39:846 230 sec: 268 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=1300479, Min=724992, Avg=857365.33, 90=986111, 99=1300479, 99.9=1300479, 99.99=1300479] 
2019-05-31 16:58:49:846 240 sec: 280 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=1287167, Min=731648, Avg=827968, 90=861695, 99=1287167, 99.9=1287167, 99.99=1287167] 
