[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-30 21:54:27:825 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-30 21:54:37:768 10 sec: 11 operations; 1.1 current ops/sec; est completion in 22 minutes [READ: Count=11, Max=923647, Min=720384, Avg=815872, 90=892927, 99=923647, 99.9=923647, 99.99=923647] 
2019-05-30 21:54:47:766 20 sec: 23 operations; 1.2 current ops/sec; est completion in 21 minutes [READ: Count=12, Max=924159, Min=717312, Avg=822186.67, 90=922623, 99=924159, 99.9=924159, 99.99=924159] 
2019-05-30 21:54:57:766 30 sec: 36 operations; 1.3 current ops/sec; est completion in 20 minutes [READ: Count=13, Max=945663, Min=728576, Avg=825993.85, 90=912895, 99=945663, 99.9=945663, 99.99=945663] 
2019-05-30 21:55:07:766 40 sec: 48 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=841215, Min=741376, Avg=792960, 90=836095, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-30 21:55:17:767 50 sec: 60 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=1004031, Min=724992, Avg=837802.67, 90=917503, 99=1004031, 99.9=1004031, 99.99=1004031] 
2019-05-30 21:55:27:766 60 sec: 72 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=885247, Min=740864, Avg=812629.33, 90=868351, 99=885247, 99.9=885247, 99.99=885247] 
2019-05-30 21:55:37:766 70 sec: 85 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=881663, Min=735232, Avg=801299.69, 90=863743, 99=881663, 99.9=881663, 99.99=881663] 
2019-05-30 21:55:47:766 80 sec: 97 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=932863, Min=721408, Avg=816469.33, 90=881663, 99=932863, 99.9=932863, 99.99=932863] 
2019-05-30 21:55:57:766 90 sec: 110 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=905215, Min=743936, Avg=802796.31, 90=842239, 99=905215, 99.9=905215, 99.99=905215] 
2019-05-30 21:56:07:766 100 sec: 122 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=952319, Min=698880, Avg=794666.67, 90=850943, 99=952319, 99.9=952319, 99.99=952319] 
2019-05-30 21:56:17:766 110 sec: 135 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=930303, Min=711168, Avg=803820.31, 90=903167, 99=930303, 99.9=930303, 99.99=930303] 
2019-05-30 21:56:27:766 120 sec: 147 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=914943, Min=726528, Avg=830549.33, 90=903167, 99=914943, 99.9=914943, 99.99=914943] 
2019-05-30 21:56:37:766 130 sec: 159 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=884223, Min=740864, Avg=804522.67, 90=863743, 99=884223, 99.9=884223, 99.99=884223] 
2019-05-30 21:56:47:766 140 sec: 171 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=922623, Min=725504, Avg=825130.67, 90=900607, 99=922623, 99.9=922623, 99.99=922623] 
2019-05-30 21:56:57:766 150 sec: 183 operations; 1.2 current ops/sec; est completion in 18 minutes [READ: Count=12, Max=967167, Min=741376, Avg=810496, 90=850431, 99=967167, 99.9=967167, 99.99=967167] 
2019-05-30 21:57:07:766 160 sec: 196 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=881663, Min=728576, Avg=818038.15, 90=881151, 99=881663, 99.9=881663, 99.99=881663] 
2019-05-30 21:57:17:766 170 sec: 208 operations; 1.2 current ops/sec; est completion in 17 minutes [READ: Count=12, Max=906751, Min=744448, Avg=817834.67, 90=882687, 99=906751, 99.9=906751, 99.99=906751] 
2019-05-30 21:57:27:767 180 sec: 220 operations; 1.2 current ops/sec; est completion in 17 minutes [READ: Count=12, Max=878079, Min=791040, Avg=819669.33, 90=869375, 99=878079, 99.9=878079, 99.99=878079] 
2019-05-30 21:57:37:766 190 sec: 233 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=952319, Min=742400, Avg=799842.46, 90=865791, 99=952319, 99.9=952319, 99.99=952319] 
2019-05-30 21:57:47:766 200 sec: 245 operations; 1.2 current ops/sec; est completion in 17 minutes [READ: Count=12, Max=865791, Min=777216, Avg=825600, 90=861183, 99=865791, 99.9=865791, 99.99=865791] 
2019-05-30 21:57:57:766 210 sec: 257 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=937983, Min=721920, Avg=811434.67, 90=888319, 99=937983, 99.9=937983, 99.99=937983] 
2019-05-30 21:58:07:766 220 sec: 269 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=919039, Min=760832, Avg=835626.67, 90=878591, 99=919039, 99.9=919039, 99.99=919039] 
2019-05-30 21:58:17:766 230 sec: 281 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=937471, Min=717824, Avg=822826.67, 90=916479, 99=937471, 99.9=937471, 99.99=937471] 
2019-05-30 21:58:27:768 240 sec: 293 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=940543, Min=720896, Avg=822912, 90=918527, 99=940543, 99.9=940543, 99.99=940543] 
2019-05-30 21:58:37:766 250 sec: 306 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=946687, Min=711680, Avg=809294.77, 90=863743, 99=946687, 99.9=946687, 99.99=946687] 
