[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-22 08:34:56:863 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-22 08:35:06:812 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=842751, Min=724992, Avg=785109.33, 90=839167, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-22 08:35:16:800 20 sec: 24 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=919039, Min=726016, Avg=780757.33, 90=825343, 99=919039, 99.9=919039, 99.99=919039] 
2019-05-22 08:35:26:799 30 sec: 38 operations; 1.4 current ops/sec; est completion in 19 minutes [READ: Count=14, Max=829439, Min=718848, Avg=763867.43, 90=823807, 99=829439, 99.9=829439, 99.99=829439] 
2019-05-22 08:35:36:800 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=825855, Min=716288, Avg=769398.15, 90=819711, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-22 08:35:46:800 50 sec: 63 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=831487, Min=719360, Avg=767658.67, 90=804863, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-22 08:35:56:799 60 sec: 77 operations; 1.4 current ops/sec; est completion in 18 minutes [READ: Count=14, Max=835583, Min=697344, Avg=763977.14, 90=823807, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-22 08:36:06:800 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=844799, Min=721408, Avg=774596.92, 90=838143, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-22 08:36:16:799 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=832511, Min=691200, Avg=768689.23, 90=831487, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-22 08:36:26:799 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=823295, Min=717824, Avg=767113.85, 90=819711, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-22 08:36:36:799 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=838143, Min=718336, Avg=767862.15, 90=819711, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-22 08:36:46:799 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=841215, Min=671232, Avg=760812.31, 90=826879, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-22 08:36:56:799 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=863231, Min=707072, Avg=770185.85, 90=858623, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-22 08:37:06:799 130 sec: 168 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=829439, Min=679936, Avg=762348.31, 90=827903, 99=829439, 99.9=829439, 99.99=829439] 
2019-05-22 08:37:16:799 140 sec: 181 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=889343, Min=691712, Avg=768452.92, 90=836095, 99=889343, 99.9=889343, 99.99=889343] 
2019-05-22 08:37:26:799 150 sec: 194 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=877055, Min=683008, Avg=777472, 90=828415, 99=877055, 99.9=877055, 99.99=877055] 
2019-05-22 08:37:36:800 160 sec: 206 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=862207, Min=735232, Avg=784085.33, 90=846847, 99=862207, 99.9=862207, 99.99=862207] 
2019-05-22 08:37:46:799 170 sec: 219 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=827391, Min=718848, Avg=770658.46, 90=815103, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-22 08:37:56:799 180 sec: 232 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=838143, Min=699904, Avg=772233.85, 90=830975, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-22 08:38:06:800 190 sec: 245 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=819199, Min=719360, Avg=772036.92, 90=819199, 99=819199, 99.9=819199, 99.99=819199] 
2019-05-22 08:38:16:800 200 sec: 258 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=849407, Min=713728, Avg=765459.69, 90=842239, 99=849407, 99.9=849407, 99.99=849407] 
2019-05-22 08:38:26:799 210 sec: 271 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=838655, Min=722944, Avg=765656.62, 90=835071, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-22 08:38:36:799 220 sec: 284 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=855039, Min=706560, Avg=765144.62, 90=831487, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-22 08:38:46:799 230 sec: 297 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=837119, Min=726528, Avg=769437.54, 90=828415, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-22 08:38:56:799 240 sec: 310 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=824831, Min=711168, Avg=771524.92, 90=824319, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-22 08:39:06:799 250 sec: 323 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=835071, Min=723456, Avg=771485.54, 90=828415, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-22 08:39:16:799 260 sec: 336 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=867839, Min=743936, Avg=781449.85, 90=825343, 99=867839, 99.9=867839, 99.99=867839] 
2019-05-22 08:39:26:800 270 sec: 349 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=823295, Min=719360, Avg=776172.31, 90=816127, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-22 08:39:36:799 280 sec: 362 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=863231, Min=704512, Avg=764947.69, 90=828927, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-22 08:39:46:799 290 sec: 375 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=848383, Min=712192, Avg=775857.23, 90=822271, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-22 08:39:56:799 300 sec: 388 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=841215, Min=721920, Avg=779086.77, 90=829951, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-22 08:40:06:799 310 sec: 401 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=845311, Min=719360, Avg=765262.77, 90=816639, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-22 08:40:16:799 320 sec: 414 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=862207, Min=700928, Avg=759906.46, 90=819711, 99=862207, 99.9=862207, 99.99=862207] 
2019-05-22 08:40:26:799 330 sec: 427 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=855039, Min=733696, Avg=773179.08, 90=824319, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-22 08:40:36:799 340 sec: 440 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=911359, Min=722944, Avg=786688, 90=853503, 99=911359, 99.9=911359, 99.99=911359] 
2019-05-22 08:40:46:799 350 sec: 453 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=862719, Min=721920, Avg=766483.69, 90=844799, 99=862719, 99.9=862719, 99.99=862719] 
2019-05-22 08:40:56:799 360 sec: 466 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=829951, Min=713216, Avg=756401.23, 90=819711, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-22 08:41:06:799 370 sec: 479 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=832511, Min=681472, Avg=753998.77, 90=829951, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-22 08:41:16:799 380 sec: 492 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=850943, Min=704000, Avg=771524.92, 90=833535, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-22 08:41:26:799 390 sec: 505 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=870911, Min=722944, Avg=775896.62, 90=833023, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-22 08:41:36:799 400 sec: 518 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=857087, Min=696320, Avg=764790.15, 90=848895, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-22 08:41:46:799 410 sec: 531 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=872447, Min=712192, Avg=775069.54, 90=843775, 99=872447, 99.9=872447, 99.99=872447] 
2019-05-22 08:41:56:799 420 sec: 544 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=827391, Min=713728, Avg=762230.15, 90=804863, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-22 08:42:06:799 430 sec: 557 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=818175, Min=720896, Avg=764750.77, 90=808959, 99=818175, 99.9=818175, 99.99=818175] 
