timestamp;status;request_time;upstream_response_time
1557957617.017;200;0.772;0.776
1557957617.793;200;0.737;0.740
1557957618.534;200;0.737;0.736
1557957619.365;200;0.823;0.824
1557957620.141;200;0.769;0.764
1557957620.882;200;0.737;0.740
1557957621.616;200;0.712;0.716
1557957622.376;200;0.755;0.760
1557957623.142;200;0.762;0.764
1557957623.887;200;0.741;0.744
1557957624.612;200;0.721;0.724
1557957625.445;200;0.829;0.832
1557957626.198;200;0.749;0.752
1557957626.947;200;0.744;0.748
1557957627.672;200;0.722;0.724
1557957628.491;200;0.815;0.820
1557957629.236;200;0.741;0.740
1557957629.981;200;0.740;0.740
1557957630.678;200;0.693;0.696
1557957631.504;200;0.820;0.824
1557957632.288;200;0.778;0.780
1557957633.039;200;0.747;0.752
1557957633.706;200;0.663;0.664
1557957634.485;200;0.775;0.776
1557957635.242;200;0.753;0.752
1557957635.982;200;0.736;0.736
1557957636.689;200;0.699;0.700
1557957637.509;200;0.816;0.816
1557957638.267;200;0.754;0.760
1557957639.001;200;0.731;0.732
1557957639.756;200;0.751;0.752
1557957640.513;200;0.753;0.756
1557957641.262;200;0.745;0.748
1557957641.986;200;0.720;0.724
1557957642.629;200;0.638;0.640
1557957643.503;200;0.869;0.872
1557957644.267;200;0.761;0.760
1557957645.009;200;0.739;0.740
1557957645.777;200;0.763;0.764
1557957646.573;200;0.792;0.796
1557957647.360;200;0.782;0.780
1557957648.116;200;0.752;0.756
1557957648.839;200;0.719;0.724
1557957649.669;200;0.827;0.828
1557957650.428;200;0.756;0.756
1557957651.176;200;0.744;0.748
1557957651.980;200;0.801;0.804
1557957652.785;200;0.802;0.804
1557957653.566;200;0.778;0.780
1557957654.314;200;0.745;0.744
1557957655.053;200;0.735;0.736
1557957655.862;200;0.805;0.804
1557957656.593;200;0.725;0.728
1557957657.349;200;0.753;0.756
1557957658.045;200;0.692;0.696
1557957658.857;200;0.809;0.812
1557957659.595;200;0.736;0.740
1557957660.325;200;0.727;0.728
1557957661.120;200;0.791;0.796
1557957661.948;200;0.825;0.828
1557957662.686;200;0.732;0.736
1557957663.456;200;0.766;0.768
1557957664.165;200;0.706;0.708
1557957664.964;200;0.795;0.800
1557957665.714;200;0.747;0.748
1557957666.478;200;0.761;0.764
1557957667.213;200;0.731;0.732
1557957668.059;200;0.843;0.848
1557957668.815;200;0.754;0.756
1557957669.583;200;0.763;0.768
1557957670.293;200;0.706;0.708
1557957671.109;200;0.811;0.812
1557957671.877;200;0.764;0.768
1557957672.613;200;0.733;0.736
1557957673.345;200;0.729;0.732
1557957674.127;200;0.778;0.776
1557957674.927;200;0.797;0.796
1557957675.652;200;0.721;0.724
1557957676.402;200;0.747;0.752
1557957677.226;200;0.820;0.820
1557957677.970;200;0.742;0.744
1557957678.700;200;0.727;0.732
1557957679.414;200;0.712;0.712
1557957680.218;200;0.802;0.808
1557957680.961;200;0.740;0.740
1557957681.708;200;0.745;0.748
1557957682.459;200;0.747;0.752
1557957683.288;200;0.819;0.816
1557957684.044;200;0.751;0.756
1557957684.787;200;0.741;0.744
