timestamp;status;request_time;upstream_response_time
1559323577.729;200;0.837;0.836
1559323578.554;200;0.761;0.764
1559323579.345;200;0.788;0.788
1559323580.184;200;0.831;0.832
1559323580.980;200;0.791;0.792
1559323581.774;200;0.790;0.792
1559323582.634;200;0.825;0.824
1559323583.950;200;1.311;1.316
1559323584.976;200;1.015;1.016
1559323585.831;200;0.851;0.852
1559323586.644;200;0.810;0.812
1559323587.490;200;0.841;0.844
1559323588.290;200;0.796;0.800
1559323589.054;200;0.761;0.764
1559323589.912;200;0.855;0.856
1559323590.800;200;0.885;0.888
1559323591.557;200;0.753;0.756
1559323592.412;200;0.849;0.852
1559323593.273;200;0.856;0.856
1559323594.697;200;1.420;1.424
1559323595.504;200;0.802;0.804
1559323596.248;200;0.740;0.740
1559323597.014;200;0.761;0.760
1559323597.872;200;0.854;0.856
1559323598.656;200;0.780;0.780
1559323599.438;200;0.778;0.776
1559323600.209;200;0.768;0.772
1559323601.053;200;0.840;0.840
1559323601.940;200;0.884;0.884
1559323602.803;200;0.859;0.856
1559323603.656;200;0.848;0.848
1559323604.814;200;1.154;1.156
1559323605.686;200;0.848;0.852
1559323606.453;200;0.763;0.764
1559323607.296;200;0.837;0.840
1559323608.456;200;1.156;1.156
1559323609.238;200;0.776;0.776
1559323610.129;200;0.887;0.888
1559323610.960;200;0.828;0.828
1559323611.789;200;0.824;0.828
1559323612.600;200;0.805;0.808
1559323613.393;200;0.789;0.792
1559323614.174;200;0.779;0.780
1559323615.201;200;1.023;1.028
1559323615.943;200;0.738;0.740
1559323616.762;200;0.816;0.820
1559323617.529;200;0.763;0.768
1559323618.883;200;1.350;1.352
1559323619.629;200;0.741;0.740
1559323620.401;200;0.769;0.772
1559323621.230;200;0.826;0.828
1559323622.035;200;0.800;0.804
1559323622.813;200;0.775;0.780
1559323623.592;200;0.776;0.776
1559323624.407;200;0.810;0.812
1559323625.222;200;0.812;0.816
1559323625.987;200;0.760;0.764
1559323626.760;200;0.770;0.772
1559323627.536;200;0.769;0.768
1559323628.353;200;0.814;0.816
1559323629.123;200;0.763;0.764
1559323629.890;200;0.764;0.768
1559323630.770;200;0.876;0.880
1559323632.198;200;1.422;1.424
1559323632.963;200;0.757;0.760
1559323633.738;200;0.772;0.776
1559323634.537;200;0.796;0.800
1559323635.366;200;0.826;0.824
1559323636.285;200;0.916;0.920
1559323637.026;200;0.737;0.736
1559323637.873;200;0.843;0.848
1559323638.822;200;0.946;0.948
1559323639.568;200;0.743;0.744
1559323640.344;200;0.774;0.776
1559323641.122;200;0.776;0.780
1559323642.414;200;1.289;1.292
1559323643.222;200;0.804;0.808
1559323643.948;200;0.723;0.724
1559323644.731;200;0.780;0.780
1559323645.840;200;1.107;1.108
1559323646.571;200;0.729;0.732
1559323647.382;200;0.808;0.808
1559323648.254;200;0.869;0.872
1559323649.088;200;0.831;0.832
1559323649.916;200;0.824;0.824
1559323650.669;200;0.749;0.748
1559323651.445;200;0.773;0.776
1559323652.283;200;0.834;0.836
1559323653.038;200;0.752;0.752
1559323653.932;200;0.889;0.892
1559323654.790;200;0.853;0.856
1559323656.102;200;1.306;1.308
1559323656.832;200;0.725;0.724
1559323657.600;200;0.764;0.764
1559323658.420;200;0.818;0.820
1559323659.236;200;0.813;0.816
1559323660.086;200;0.848;0.852
1559323660.820;200;0.732;0.732
1559323661.703;200;0.881;0.884
1559323662.597;200;0.863;0.868
1559323663.341;200;0.736;0.736
1559323664.079;200;0.735;0.736
1559323664.884;200;0.802;0.804
1559323666.089;200;1.203;1.204
1559323666.876;200;0.783;0.784
1559323667.685;200;0.804;0.804
1559323668.404;200;0.718;0.720
1559323669.610;200;1.203;1.208
1559323670.390;200;0.777;0.776
1559323671.189;200;0.796;0.796
1559323671.903;200;0.711;0.712
1559323672.775;200;0.869;0.872
1559323673.651;200;0.873;0.876
1559323674.485;200;0.831;0.836
1559323675.310;200;0.823;0.824
1559323676.131;200;0.816;0.820
1559323677.072;200;0.939;0.940
1559323677.914;200;0.840;0.844
1559323678.828;200;0.911;0.912
