[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-06-03 17:37:48:253 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-06-03 17:37:58:208 10 sec: 10 operations; 1 current ops/sec; est completion in 8 minutes [READ: Count=10, Max=1210367, Min=731648, Avg=898969.6, 90=1178623, 99=1210367, 99.9=1210367, 99.99=1210367] 
2019-06-03 17:38:08:206 20 sec: 21 operations; 1.1 current ops/sec; est completion in 7 minutes [READ: Count=11, Max=1212415, Min=740352, Avg=899700.36, 90=1114111, 99=1212415, 99.9=1212415, 99.99=1212415] 
2019-06-03 17:38:18:206 30 sec: 32 operations; 1.1 current ops/sec; est completion in 7 minutes [READ: Count=11, Max=1253375, Min=679424, Avg=900910.55, 90=1228799, 99=1253375, 99.9=1253375, 99.99=1253375] 
2019-06-03 17:38:28:206 40 sec: 43 operations; 1.1 current ops/sec; est completion in 7 minutes [READ: Count=11, Max=1195007, Min=728064, Avg=911080.73, 90=1181695, 99=1195007, 99.9=1195007, 99.99=1195007] 
2019-06-03 17:38:38:206 50 sec: 53 operations; 1 current ops/sec; est completion in 7 minutes [READ: Count=10, Max=1219583, Min=797184, Avg=982579.2, 90=1202175, 99=1219583, 99.9=1219583, 99.99=1219583] 
2019-06-03 17:38:48:206 60 sec: 64 operations; 1.1 current ops/sec; est completion in 6 minutes [READ: Count=11, Max=1307647, Min=742400, Avg=922554.18, 90=1217535, 99=1307647, 99.9=1307647, 99.99=1307647] 
2019-06-03 17:38:58:206 70 sec: 76 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=1125375, Min=706560, Avg=895744, 90=1079295, 99=1125375, 99.9=1125375, 99.99=1125375] 
2019-06-03 17:39:08:206 80 sec: 86 operations; 1 current ops/sec; est completion in 6 minutes [READ: Count=10, Max=1336319, Min=705024, Avg=930969.6, 90=1215487, 99=1336319, 99.9=1336319, 99.99=1336319] 
2019-06-03 17:39:18:206 90 sec: 98 operations; 1.2 current ops/sec; est completion in 6 minutes [READ: Count=12, Max=1199103, Min=699392, Avg=879658.67, 90=1190911, 99=1199103, 99.9=1199103, 99.99=1199103] 
2019-06-03 17:39:28:206 100 sec: 109 operations; 1.1 current ops/sec; est completion in 5 minutes [READ: Count=11, Max=1211391, Min=661504, Avg=914501.82, 90=1190911, 99=1211391, 99.9=1211391, 99.99=1211391] 
2019-06-03 17:39:38:206 110 sec: 119 operations; 1 current ops/sec; est completion in 5 minutes [READ: Count=10, Max=1180671, Min=756224, Avg=936499.2, 90=1178623, 99=1180671, 99.9=1180671, 99.99=1180671] 
2019-06-03 17:39:48:206 120 sec: 130 operations; 1.1 current ops/sec; est completion in 5 minutes [READ: Count=11, Max=1214463, Min=740352, Avg=909917.09, 90=1137663, 99=1214463, 99.9=1214463, 99.99=1214463] 
2019-06-03 17:39:58:206 130 sec: 141 operations; 1.1 current ops/sec; est completion in 5 minutes [READ: Count=11, Max=1223679, Min=745984, Avg=907403.64, 90=1215487, 99=1223679, 99.9=1223679, 99.99=1223679] 
2019-06-03 17:40:08:206 140 sec: 152 operations; 1.1 current ops/sec; est completion in 5 minutes [READ: Count=11, Max=1267711, Min=702976, Avg=955694.55, 90=1251327, 99=1267711, 99.9=1267711, 99.99=1267711] 
2019-06-03 17:40:18:206 150 sec: 162 operations; 1 current ops/sec; est completion in 5 minutes [READ: Count=10, Max=1462271, Min=705536, Avg=946099.2, 90=1241087, 99=1462271, 99.9=1462271, 99.99=1462271] 
2019-06-03 17:40:28:206 160 sec: 173 operations; 1.1 current ops/sec; est completion in 5 minutes [READ: Count=11, Max=1175551, Min=695808, Avg=918993.45, 90=1146879, 99=1175551, 99.9=1175551, 99.99=1175551] 
2019-06-03 17:40:38:206 170 sec: 184 operations; 1.1 current ops/sec; est completion in 4 minutes [READ: Count=11, Max=1217535, Min=728576, Avg=915362.91, 90=1209343, 99=1217535, 99.9=1217535, 99.99=1217535] 
2019-06-03 17:40:48:206 180 sec: 194 operations; 1 current ops/sec; est completion in 4 minutes [READ: Count=10, Max=1299455, Min=715264, Avg=1020953.6, 90=1272831, 99=1299455, 99.9=1299455, 99.99=1299455] 
2019-06-03 17:40:58:206 190 sec: 205 operations; 1.1 current ops/sec; est completion in 4 minutes [READ: Count=11, Max=1204223, Min=759808, Avg=881268.36, 90=1105919, 99=1204223, 99.9=1204223, 99.99=1204223] 
2019-06-03 17:41:08:206 200 sec: 216 operations; 1.1 current ops/sec; est completion in 4 minutes [READ: Count=11, Max=1297407, Min=690688, Avg=952110.55, 90=1213439, 99=1297407, 99.9=1297407, 99.99=1297407] 
2019-06-03 17:41:18:206 210 sec: 227 operations; 1.1 current ops/sec; est completion in 4 minutes [READ: Count=11, Max=1196031, Min=728064, Avg=882455.27, 90=1180671, 99=1196031, 99.9=1196031, 99.99=1196031] 
2019-06-03 17:41:28:206 220 sec: 238 operations; 1.1 current ops/sec; est completion in 4 minutes [READ: Count=11, Max=1300479, Min=726528, Avg=906449.45, 90=1144831, 99=1300479, 99.9=1300479, 99.99=1300479] 
2019-06-03 17:41:38:206 230 sec: 249 operations; 1.1 current ops/sec; est completion in 3 minutes [READ: Count=11, Max=1253375, Min=693248, Avg=890554.18, 90=1178623, 99=1253375, 99.9=1253375, 99.99=1253375] 
2019-06-03 17:41:48:206 240 sec: 261 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=1125375, Min=727040, Avg=879061.33, 90=1113087, 99=1125375, 99.9=1125375, 99.99=1125375] 
