[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-22 05:52:17:926 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-22 05:52:27:860 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=831487, Min=710656, Avg=776618.67, 90=825855, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-22 05:52:37:859 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=881663, Min=730112, Avg=776526.77, 90=844287, 99=881663, 99.9=881663, 99.99=881663] 
2019-05-22 05:52:47:859 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=818687, Min=706560, Avg=761993.85, 90=813567, 99=818687, 99.9=818687, 99.99=818687] 
2019-05-22 05:52:57:858 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=826879, Min=670208, Avg=757188.92, 90=816639, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-22 05:53:07:858 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=880639, Min=701952, Avg=771209.85, 90=856575, 99=880639, 99.9=880639, 99.99=880639] 
2019-05-22 05:53:17:859 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=852991, Min=722432, Avg=761363.69, 90=808959, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-22 05:53:27:858 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=868351, Min=711168, Avg=782867.69, 90=855039, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-22 05:53:37:858 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=840703, Min=697856, Avg=761678.77, 90=834559, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-22 05:53:47:858 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=837119, Min=636416, Avg=763057.23, 90=835071, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-22 05:53:57:857 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=827903, Min=711680, Avg=765617.23, 90=825855, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-22 05:54:07:858 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=844799, Min=701952, Avg=758016, 90=825343, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-22 05:54:17:858 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=825855, Min=716288, Avg=761284.92, 90=820223, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-22 05:54:27:857 130 sec: 169 operations; 1.4 current ops/sec; est completion in 17 minutes [READ: Count=14, Max=846847, Min=703488, Avg=761270.86, 90=815615, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-22 05:54:37:858 140 sec: 182 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=862207, Min=713728, Avg=764002.46, 90=861183, 99=862207, 99.9=862207, 99.99=862207] 
2019-05-22 05:54:47:858 150 sec: 195 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=871935, Min=727040, Avg=776408.62, 90=846847, 99=871935, 99.9=871935, 99.99=871935] 
2019-05-22 05:54:57:857 160 sec: 208 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=847359, Min=714752, Avg=765380.92, 90=831487, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-22 05:55:07:857 170 sec: 221 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=838655, Min=697344, Avg=764672, 90=827903, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-22 05:55:17:859 180 sec: 234 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=860159, Min=711680, Avg=766483.69, 90=822271, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-22 05:55:27:857 190 sec: 247 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=852991, Min=734720, Avg=775187.69, 90=841727, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-22 05:55:37:858 200 sec: 259 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=848895, Min=722432, Avg=773589.33, 90=839167, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-22 05:55:47:858 210 sec: 272 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=828927, Min=741376, Avg=780544, 90=822783, 99=828927, 99.9=828927, 99.99=828927] 
2019-05-22 05:55:57:857 220 sec: 285 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=847871, Min=725504, Avg=766798.77, 90=834047, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-22 05:56:07:857 230 sec: 299 operations; 1.4 current ops/sec; est completion in 15 minutes [READ: Count=14, Max=819199, Min=698368, Avg=754066.29, 90=816639, 99=819199, 99.9=819199, 99.99=819199] 
2019-05-22 05:56:17:858 240 sec: 312 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=840191, Min=724480, Avg=772233.85, 90=831487, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-22 05:56:27:859 250 sec: 325 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=813567, Min=690688, Avg=760182.15, 90=807423, 99=813567, 99.9=813567, 99.99=813567] 
2019-05-22 05:56:37:857 260 sec: 338 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=855551, Min=727552, Avg=771721.85, 90=825343, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-22 05:56:47:859 270 sec: 351 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=842239, Min=699392, Avg=770973.54, 90=839167, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-22 05:56:57:858 280 sec: 363 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=858111, Min=720384, Avg=774186.67, 90=836095, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-22 05:57:07:857 290 sec: 377 operations; 1.4 current ops/sec; est completion in 14 minutes [READ: Count=14, Max=839167, Min=657920, Avg=761417.14, 90=822783, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-22 05:57:17:857 300 sec: 390 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=824319, Min=722944, Avg=760930.46, 90=816639, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-22 05:57:27:857 310 sec: 403 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=844287, Min=720384, Avg=779559.38, 90=832511, 99=844287, 99.9=844287, 99.99=844287] 
2019-05-22 05:57:37:858 320 sec: 416 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=863231, Min=722944, Avg=776054.15, 90=836095, 99=863231, 99.9=863231, 99.99=863231] 
2019-05-22 05:57:47:858 330 sec: 428 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=882175, Min=717824, Avg=774442.67, 90=847871, 99=882175, 99.9=882175, 99.99=882175] 
2019-05-22 05:57:57:858 340 sec: 441 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=838655, Min=726528, Avg=782907.08, 90=838143, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-22 05:58:07:857 350 sec: 454 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=851455, Min=714752, Avg=767271.38, 90=831999, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-22 05:58:17:857 360 sec: 467 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=829951, Min=718848, Avg=761009.23, 90=829439, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-22 05:58:27:859 370 sec: 480 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=870399, Min=709632, Avg=776605.54, 90=852479, 99=870399, 99.9=870399, 99.99=870399] 
2019-05-22 05:58:37:858 380 sec: 493 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=850943, Min=708096, Avg=768334.77, 90=845823, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-22 05:58:47:858 390 sec: 506 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=886271, Min=668672, Avg=771958.15, 90=873983, 99=886271, 99.9=886271, 99.99=886271] 
2019-05-22 05:58:57:858 400 sec: 519 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=845823, Min=718336, Avg=773454.77, 90=841727, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-22 05:59:07:857 410 sec: 532 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=869375, Min=646656, Avg=775502.77, 90=861695, 99=869375, 99.9=869375, 99.99=869375] 
2019-05-22 05:59:17:859 420 sec: 545 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=843775, Min=713728, Avg=757543.38, 90=815615, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-22 05:59:27:858 430 sec: 558 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=859647, Min=699392, Avg=767901.54, 90=824831, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-22 05:59:37:857 440 sec: 571 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=839679, Min=671232, Avg=753762.46, 90=827903, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-22 05:59:47:857 450 sec: 584 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=918015, Min=692736, Avg=776290.46, 90=851455, 99=918015, 99.9=918015, 99.99=918015] 
2019-05-22 05:59:57:857 460 sec: 597 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=834559, Min=708096, Avg=760930.46, 90=799743, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-22 06:00:07:857 470 sec: 611 operations; 1.4 current ops/sec; est completion in 11 minutes [READ: Count=14, Max=816127, Min=691200, Avg=746605.71, 90=801791, 99=816127, 99.9=816127, 99.99=816127] 
2019-05-22 06:00:17:857 480 sec: 624 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=835071, Min=695808, Avg=762072.62, 90=830463, 99=835071, 99.9=835071, 99.99=835071] 
2019-05-22 06:00:27:858 490 sec: 637 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=813055, Min=713728, Avg=757700.92, 90=810495, 99=813055, 99.9=813055, 99.99=813055] 
2019-05-22 06:00:37:857 500 sec: 650 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=864255, Min=721408, Avg=764553.85, 90=845823, 99=864255, 99.9=864255, 99.99=864255] 
2019-05-22 06:00:47:857 510 sec: 663 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=934399, Min=666624, Avg=760497.23, 90=822783, 99=934399, 99.9=934399, 99.99=934399] 
2019-05-22 06:00:57:857 520 sec: 676 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=841215, Min=688640, Avg=768571.08, 90=813055, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-22 06:01:07:857 530 sec: 690 operations; 1.4 current ops/sec; est completion in 10 minutes [READ: Count=14, Max=866303, Min=708096, Avg=759625.14, 90=805375, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-22 06:01:17:857 540 sec: 703 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=886271, Min=704000, Avg=760969.85, 90=817663, 99=886271, 99.9=886271, 99.99=886271] 
2019-05-22 06:01:27:857 550 sec: 716 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=839679, Min=702464, Avg=760930.46, 90=822783, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-22 06:01:37:857 560 sec: 729 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=845823, Min=709120, Avg=770658.46, 90=841727, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-22 06:01:47:857 570 sec: 742 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=864255, Min=675328, Avg=764593.23, 90=855551, 99=864255, 99.9=864255, 99.99=864255] 
2019-05-22 06:01:57:857 580 sec: 755 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=882687, Min=687616, Avg=765026.46, 90=837119, 99=882687, 99.9=882687, 99.99=882687] 
2019-05-22 06:02:07:857 590 sec: 768 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=832511, Min=703488, Avg=775620.92, 90=826367, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-22 06:02:17:857 600 sec: 781 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=870911, Min=709632, Avg=769476.92, 90=832511, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-22 06:02:27:857 610 sec: 794 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=862719, Min=696320, Avg=751438.77, 90=833023, 99=862719, 99.9=862719, 99.99=862719] 
2019-05-22 06:02:37:857 620 sec: 807 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=860159, Min=708608, Avg=768295.38, 90=836095, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-22 06:02:47:857 630 sec: 820 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=868351, Min=714752, Avg=766759.38, 90=845823, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-22 06:02:57:858 640 sec: 833 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=849407, Min=712192, Avg=770934.15, 90=847871, 99=849407, 99.9=849407, 99.99=849407] 
2019-05-22 06:03:07:857 650 sec: 846 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=885247, Min=695808, Avg=766011.08, 90=877567, 99=885247, 99.9=885247, 99.99=885247] 
2019-05-22 06:03:17:859 660 sec: 859 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=864767, Min=696320, Avg=758685.54, 90=852991, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-22 06:03:27:857 670 sec: 872 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=850943, Min=709120, Avg=765380.92, 90=834559, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-22 06:03:37:857 680 sec: 885 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=865791, Min=720896, Avg=762978.46, 90=823295, 99=865791, 99.9=865791, 99.99=865791] 
2019-05-22 06:03:47:857 690 sec: 899 operations; 1.4 current ops/sec; est completion in 7 minutes [READ: Count=14, Max=861695, Min=709632, Avg=767707.43, 90=834047, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-22 06:03:57:858 700 sec: 911 operations; 1.2 current ops/sec; est completion in 7 minutes [READ: Count=12, Max=884735, Min=699392, Avg=768128, 90=831999, 99=884735, 99.9=884735, 99.99=884735] 
2019-05-22 06:04:07:857 710 sec: 925 operations; 1.4 current ops/sec; est completion in 7 minutes [READ: Count=14, Max=855551, Min=693248, Avg=762843.43, 90=839679, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-22 06:04:17:857 720 sec: 938 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=877567, Min=725504, Avg=771721.85, 90=817663, 99=877567, 99.9=877567, 99.99=877567] 
2019-05-22 06:04:27:857 730 sec: 951 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=844799, Min=686080, Avg=761481.85, 90=826367, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-22 06:04:37:857 740 sec: 964 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=850431, Min=694784, Avg=774163.69, 90=845311, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-22 06:04:47:857 750 sec: 977 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=840703, Min=723968, Avg=766680.62, 90=839167, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-22 06:04:57:857 760 sec: 990 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=854527, Min=723456, Avg=767507.69, 90=823295, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-22 06:05:07:857 770 sec: 1003 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=854015, Min=712192, Avg=770382.77, 90=828415, 99=854015, 99.9=854015, 99.99=854015] 
