[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-20 21:17:26:046 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-20 21:17:36:000 10 sec: 12 operations; 1.2 current ops/sec; est completion in 27 minutes [READ: Count=12, Max=840191, Min=710144, Avg=772992, 90=807935, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-20 21:17:45:995 20 sec: 25 operations; 1.3 current ops/sec; est completion in 26 minutes [READ: Count=13, Max=812031, Min=715264, Avg=753132.31, 90=800255, 99=812031, 99.9=812031, 99.99=812031] 
2019-05-20 21:17:55:995 30 sec: 38 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=847871, Min=718336, Avg=757267.69, 90=801279, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-20 21:18:05:995 40 sec: 51 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=820223, Min=719872, Avg=758173.54, 90=808959, 99=820223, 99.9=820223, 99.99=820223] 
2019-05-20 21:18:15:996 50 sec: 65 operations; 1.4 current ops/sec; est completion in 24 minutes [READ: Count=14, Max=811007, Min=721408, Avg=758308.57, 90=807935, 99=811007, 99.9=811007, 99.99=811007] 
2019-05-20 21:18:25:995 60 sec: 78 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=855039, Min=715264, Avg=751320.62, 90=790527, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-20 21:18:35:995 70 sec: 91 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=824831, Min=692224, Avg=758488.62, 90=817663, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-20 21:18:45:995 80 sec: 104 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=831487, Min=698368, Avg=768531.69, 90=822271, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-20 21:18:55:995 90 sec: 117 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=797695, Min=734208, Avg=757188.92, 90=786431, 99=797695, 99.9=797695, 99.99=797695] 
2019-05-20 21:19:05:995 100 sec: 131 operations; 1.4 current ops/sec; est completion in 23 minutes [READ: Count=14, Max=842751, Min=711168, Avg=754834.29, 90=799231, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-20 21:19:15:995 110 sec: 144 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=854015, Min=700416, Avg=767901.54, 90=834559, 99=854015, 99.9=854015, 99.99=854015] 
2019-05-20 21:19:25:995 120 sec: 157 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=805887, Min=705536, Avg=754274.46, 90=802303, 99=805887, 99.9=805887, 99.99=805887] 
2019-05-20 21:19:35:995 130 sec: 170 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=829439, Min=704000, Avg=759709.54, 90=817151, 99=829439, 99.9=829439, 99.99=829439] 
2019-05-20 21:19:45:996 140 sec: 183 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=842751, Min=675840, Avg=760851.69, 90=838655, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-20 21:19:55:996 150 sec: 196 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=834559, Min=724992, Avg=770579.69, 90=814591, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-20 21:20:05:995 160 sec: 209 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=830975, Min=705024, Avg=754589.54, 90=799231, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-20 21:20:15:995 170 sec: 223 operations; 1.4 current ops/sec; est completion in 22 minutes [READ: Count=14, Max=819711, Min=713216, Avg=748470.86, 90=800767, 99=819711, 99.9=819711, 99.99=819711] 
2019-05-20 21:20:25:995 180 sec: 236 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=835583, Min=727040, Avg=768964.92, 90=829439, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-20 21:20:35:995 190 sec: 249 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=821247, Min=727040, Avg=757110.15, 90=793599, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-20 21:20:45:995 200 sec: 262 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=818687, Min=722944, Avg=756007.38, 90=816639, 99=818687, 99.9=818687, 99.99=818687] 
2019-05-20 21:20:55:997 210 sec: 275 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=817663, Min=601088, Avg=748721.23, 90=798207, 99=817663, 99.9=817663, 99.99=817663] 
2019-05-20 21:21:05:995 220 sec: 289 operations; 1.4 current ops/sec; est completion in 21 minutes [READ: Count=14, Max=837119, Min=688128, Avg=769938.29, 90=833023, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-20 21:21:15:995 230 sec: 302 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=837119, Min=712192, Avg=752462.77, 90=820223, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-20 21:21:25:995 240 sec: 315 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=844287, Min=682496, Avg=756046.77, 90=808447, 99=844287, 99.9=844287, 99.99=844287] 
2019-05-20 21:21:35:995 250 sec: 328 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=838655, Min=694272, Avg=761796.92, 90=828415, 99=838655, 99.9=838655, 99.99=838655] 
