timestamp;status;request_time;upstream_response_time
1557946496.430;200;0.740;0.744
1557946497.243;200;0.768;0.768
1557946497.960;200;0.713;0.716
1557946498.828;200;0.864;0.868
1557946499.594;200;0.762;0.768
1557946500.313;200;0.714;0.716
1557946500.982;200;0.666;0.672
1557946501.791;200;0.780;0.784
1557946502.551;200;0.756;0.756
1557946503.337;200;0.782;0.784
1557946504.020;200;0.680;0.684
1557946504.877;200;0.851;0.852
1557946505.635;200;0.752;0.752
1557946506.369;200;0.727;0.728
1557946507.070;200;0.695;0.700
1557946507.875;200;0.801;0.804
1557946508.612;200;0.734;0.736
1557946509.355;200;0.739;0.744
1557946510.008;200;0.645;0.644
1557946510.814;200;0.799;0.804
1557946511.555;200;0.736;0.732
1557946512.314;200;0.755;0.760
1557946513.023;200;0.701;0.704
1557946513.840;200;0.809;0.812
1557946514.622;200;0.775;0.780
1557946515.379;200;0.751;0.756
1557946516.104;200;0.720;0.724
1557946516.912;200;0.804;0.808
1557946517.656;200;0.741;0.744
1557946518.383;200;0.719;0.724
1557946519.064;200;0.678;0.680
1557946519.906;200;0.836;0.840
1557946520.664;200;0.750;0.752
1557946521.401;200;0.733;0.736
1557946522.093;200;0.689;0.692
1557946522.920;200;0.823;0.828
1557946523.670;200;0.740;0.740
1557946524.428;200;0.750;0.748
1557946525.064;200;0.626;0.628
1557946525.890;200;0.823;0.828
1557946526.665;200;0.770;0.772
1557946527.414;200;0.746;0.748
1557946528.123;200;0.704;0.704
1557946528.981;200;0.854;0.848
1557946529.726;200;0.742;0.748
1557946530.457;200;0.728;0.728
1557946531.145;200;0.685;0.688
1557946531.965;200;0.817;0.820
1557946532.735;200;0.767;0.772
1557946533.514;200;0.772;0.776
1557946534.232;200;0.715;0.716
1557946535.068;200;0.832;0.836
1557946535.850;200;0.779;0.780
1557946536.600;200;0.746;0.744
1557946537.260;200;0.657;0.660
1557946538.070;200;0.807;0.812
1557946538.819;200;0.746;0.748
1557946539.573;200;0.750;0.752
1557946540.246;200;0.670;0.676
1557946541.085;200;0.835;0.836
1557946541.850;200;0.761;0.764
1557946542.633;200;0.781;0.784
1557946543.365;200;0.729;0.732
1557946544.226;200;0.858;0.860
1557946544.982;200;0.753;0.752
1557946545.718;200;0.733;0.736
1557946546.428;200;0.704;0.704
1557946547.270;200;0.836;0.840
1557946548.019;200;0.745;0.748
1557946548.765;200;0.741;0.740
1557946549.440;200;0.672;0.672
1557946550.281;200;0.836;0.836
1557946551.071;200;0.787;0.792
1557946551.808;200;0.732;0.736
1557946552.501;200;0.688;0.688
1557946553.332;200;0.829;0.832
1557946554.087;200;0.751;0.756
1557946554.819;200;0.729;0.732
1557946555.518;200;0.696;0.700
1557946556.341;200;0.817;0.820
1557946557.108;200;0.765;0.768
1557946557.834;200;0.723;0.724
1557946558.527;200;0.689;0.692
1557946559.383;200;0.852;0.852
1557946560.141;200;0.747;0.748
1557946560.883;200;0.738;0.744
1557946561.658;200;0.770;0.776
1557946562.466;200;0.804;0.808
1557946563.231;200;0.754;0.760
1557946563.982;200;0.748;0.748
1557946564.696;200;0.712;0.716
1557946565.535;200;0.837;0.836
1557946566.297;200;0.757;0.760
1557946567.041;200;0.741;0.744
