timestamp;status;request_time;upstream_response_time
1557619512.897;200;0.222;0.224
1557619513.137;200;0.201;0.200
1557619513.351;200;0.210;0.212
1557619513.594;200;0.221;0.224
1557619513.803;200;0.205;0.204
1557619514.007;200;0.200;0.200
1557619514.221;200;0.210;0.208
1557619514.449;200;0.225;0.228
1557619514.649;200;0.196;0.196
1557619514.852;200;0.197;0.196
1557619515.060;200;0.206;0.204
1557619515.277;200;0.214;0.216
1557619515.491;200;0.211;0.212
1557619515.709;200;0.215;0.216
1557619515.921;200;0.208;0.208
1557619516.143;200;0.218;0.220
1557619516.353;200;0.206;0.204
1557619516.555;200;0.200;0.200
1557619516.770;200;0.212;0.212
1557619517.005;200;0.231;0.232
1557619517.203;200;0.195;0.196
1557619517.410;200;0.205;0.204
1557619517.617;200;0.204;0.204
1557619517.838;200;0.217;0.220
1557619518.054;200;0.213;0.216
1557619518.256;200;0.199;0.200
1557619518.470;200;0.209;0.208
1557619518.701;200;0.228;0.224
1557619518.907;200;0.202;0.204
1557619519.117;200;0.208;0.208
1557619519.326;200;0.206;0.208
1557619519.550;200;0.220;0.220
1557619519.761;200;0.209;0.208
1557619519.970;200;0.206;0.208
1557619520.183;200;0.210;0.208
1557619520.399;200;0.214;0.212
1557619520.607;200;0.205;0.204
1557619520.811;200;0.202;0.204
1557619521.014;200;0.201;0.200
1557619521.240;200;0.223;0.220
1557619521.454;200;0.212;0.212
1557619521.656;200;0.199;0.200
1557619521.864;200;0.202;0.200
1557619522.088;200;0.221;0.220
1557619522.296;200;0.205;0.204
1557619522.499;200;0.199;0.200
1557619522.703;200;0.202;0.200
1557619522.941;200;0.236;0.236
1557619523.150;200;0.206;0.208
1557619523.354;200;0.201;0.204
1557619523.559;200;0.202;0.200
1557619523.786;200;0.225;0.224
1557619523.996;200;0.208;0.208
1557619524.197;200;0.198;0.200
1557619524.414;200;0.214;0.216
1557619524.624;200;0.207;0.208
1557619524.829;200;0.203;0.204
1557619525.031;200;0.199;0.200
1557619525.232;200;0.198;0.196
1557619525.454;200;0.220;0.220
1557619525.653;200;0.197;0.196
1557619525.857;200;0.200;0.204
1557619526.059;200;0.199;0.201
1557619526.277;200;0.215;0.212
1557619526.471;200;0.192;0.192
1557619526.695;200;0.223;0.224
1557619526.865;200;0.168;0.168
1557619527.088;200;0.220;0.220
1557619527.294;200;0.204;0.204
1557619527.503;200;0.207;0.208
1557619527.710;200;0.205;0.208
1557619527.923;200;0.211;0.212
1557619528.122;200;0.196;0.196
1557619528.315;200;0.190;0.188
1557619528.485;200;0.167;0.168
1557619528.712;200;0.224;0.224
1557619528.915;200;0.199;0.200
1557619529.124;200;0.206;0.208
1557619529.348;200;0.220;0.220
1557619529.569;200;0.217;0.224
1557619529.771;200;0.199;0.200
1557619529.976;200;0.202;0.200
1557619530.183;200;0.203;0.204
1557619530.410;200;0.224;0.224
1557619530.608;200;0.196;0.196
1557619530.811;200;0.201;0.204
1557619531.015;200;0.201;0.204
1557619531.241;200;0.224;0.224
1557619531.448;200;0.204;0.208
1557619531.650;200;0.200;0.204
1557619531.860;200;0.208;0.208
1557619532.100;200;0.238;0.240
1557619532.308;200;0.205;0.204
1557619532.516;200;0.203;0.204
1557619532.720;200;0.201;0.204
1557619532.954;200;0.231;0.236
1557619533.152;200;0.197;0.192
1557619533.352;200;0.196;0.200
1557619533.574;200;0.218;0.224
1557619533.804;200;0.227;0.228
1557619534.017;200;0.209;0.216
1557619534.225;200;0.206;0.204
1557619534.431;200;0.203;0.208
1557619534.649;200;0.216;0.212
1557619534.863;200;0.212;0.212
1557619535.057;200;0.191;0.192
1557619535.272;200;0.212;0.216
1557619535.496;200;0.220;0.224
1557619535.702;200;0.205;0.204
1557619535.903;200;0.198;0.204
1557619536.109;200;0.201;0.204
1557619536.341;200;0.220;0.220
1557619536.546;200;0.201;0.204
1557619536.749;200;0.200;0.200
1557619536.969;200;0.216;0.224
1557619537.191;200;0.219;0.220
1557619537.398;200;0.204;0.208
1557619537.604;200;0.203;0.204
1557619537.825;200;0.216;0.220
1557619538.053;200;0.224;0.224
1557619538.267;200;0.211;0.212
1557619538.474;200;0.203;0.204
1557619538.673;200;0.196;0.196
1557619538.915;200;0.238;0.244
1557619539.131;200;0.203;0.208
1557619539.346;200;0.213;0.216
1557619539.555;200;0.206;0.208
1557619539.778;200;0.220;0.224
1557619539.986;200;0.206;0.204
1557619540.192;200;0.203;0.208
1557619540.397;200;0.200;0.204
1557619540.622;200;0.221;0.224
1557619540.824;200;0.200;0.200
1557619541.038;200;0.211;0.216
1557619541.235;200;0.194;0.196
1557619541.456;200;0.219;0.220
1557619541.657;200;0.198;0.196
1557619541.857;200;0.197;0.200
1557619542.076;200;0.207;0.208
1557619542.301;200;0.223;0.220
1557619542.506;200;0.198;0.200
1557619542.717;200;0.208;0.208
1557619542.927;200;0.207;0.208
1557619543.151;200;0.223;0.228
1557619543.376;200;0.223;0.224
1557619543.575;200;0.196;0.200
1557619543.792;200;0.214;0.216
1557619544.029;200;0.236;0.240
1557619544.231;200;0.199;0.200
1557619544.430;200;0.197;0.200
1557619544.644;200;0.209;0.208
1557619544.920;200;0.272;0.276
1557619545.129;200;0.201;0.200
1557619545.340;200;0.207;0.208
1557619545.568;200;0.224;0.228
1557619545.795;200;0.225;0.228
1557619545.998;200;0.201;0.204
1557619546.196;200;0.197;0.196
1557619546.414;200;0.214;0.220
1557619546.646;200;0.230;0.228
1557619546.860;200;0.211;0.212
1557619547.063;200;0.200;0.204
1557619547.276;200;0.212;0.212
1557619547.499;200;0.221;0.224
1557619547.716;200;0.213;0.216
1557619547.919;200;0.197;0.200
1557619548.129;200;0.208;0.204
1557619548.352;200;0.221;0.220
1557619548.555;200;0.202;0.204
1557619548.756;200;0.199;0.200
1557619548.961;200;0.203;0.204
1557619549.205;200;0.225;0.228
1557619549.401;200;0.192;0.196
1557619549.610;200;0.206;0.208
1557619549.819;200;0.206;0.208
1557619550.046;200;0.224;0.228
1557619550.261;200;0.213;0.212
1557619550.459;200;0.196;0.200
1557619550.666;200;0.204;0.204
1557619550.912;200;0.244;0.248
1557619551.117;200;0.201;0.204
1557619551.316;200;0.193;0.192
1557619551.527;200;0.207;0.208
1557619551.761;200;0.231;0.236
1557619551.965;200;0.201;0.196
1557619552.168;200;0.200;0.204
1557619552.385;200;0.212;0.212
1557619552.624;200;0.234;0.236
1557619552.839;200;0.210;0.216
1557619553.046;200;0.204;0.204
1557619553.261;200;0.212;0.208
1557619553.488;200;0.225;0.228
1557619553.688;200;0.197;0.200
1557619553.886;200;0.194;0.200
1557619554.092;200;0.201;0.204
1557619554.325;200;0.230;0.228
1557619554.528;200;0.201;0.204
1557619554.732;200;0.202;0.204
1557619554.941;200;0.207;0.208
1557619555.163;200;0.219;0.224
1557619555.383;200;0.216;0.220
1557619555.580;200;0.194;0.196
1557619555.788;200;0.206;0.204
1557619556.014;200;0.223;0.228
1557619556.228;200;0.212;0.212
1557619556.432;200;0.202;0.204
1557619556.635;200;0.200;0.204
1557619556.868;200;0.231;0.228
1557619557.067;200;0.196;0.200
1557619557.278;200;0.209;0.208
1557619557.493;200;0.213;0.216
1557619557.711;200;0.215;0.220
1557619557.909;200;0.196;0.196
1557619558.106;200;0.194;0.200
1557619558.312;200;0.203;0.200
1557619558.535;200;0.221;0.224
1557619558.736;200;0.199;0.200
1557619558.951;200;0.213;0.216
1557619559.157;200;0.204;0.204
1557619559.384;200;0.224;0.220
1557619559.605;200;0.220;0.224
1557619559.804;200;0.196;0.192
1557619560.007;200;0.200;0.200
1557619560.228;200;0.219;0.220
1557619560.474;200;0.241;0.244
1557619560.704;200;0.228;0.228
1557619560.915;200;0.208;0.208
1557619561.140;200;0.223;0.224
1557619561.342;200;0.198;0.200
1557619561.547;200;0.203;0.200
1557619561.769;200;0.220;0.224
1557619562.008;200;0.233;0.236
1557619562.222;200;0.211;0.212
1557619562.433;200;0.205;0.208
1557619562.636;200;0.200;0.204
1557619562.866;200;0.225;0.228
1557619563.076;200;0.208;0.208
1557619563.276;200;0.197;0.200
1557619563.488;200;0.209;0.204
1557619563.715;200;0.224;0.228
1557619563.918;200;0.201;0.204
1557619564.123;200;0.202;0.204
1557619564.335;200;0.210;0.208
1557619564.553;200;0.215;0.216
1557619564.763;200;0.207;0.208
1557619564.973;200;0.207;0.204
1557619565.192;200;0.215;0.220
1557619565.411;200;0.217;0.220
1557619565.618;200;0.206;0.204
1557619565.821;200;0.200;0.204
1557619566.040;200;0.215;0.220
1557619566.266;200;0.222;0.228
1557619566.509;200;0.241;0.240
1557619566.716;200;0.205;0.204
1557619566.921;200;0.204;0.204
1557619567.133;200;0.210;0.208
1557619567.348;200;0.211;0.212
1557619567.564;200;0.212;0.216
1557619567.781;200;0.215;0.216
1557619568.014;200;0.230;0.236
1557619568.221;200;0.205;0.204
1557619568.427;200;0.203;0.204
1557619568.632;200;0.202;0.204
1557619568.871;200;0.222;0.224
1557619569.081;200;0.208;0.208
1557619569.290;200;0.206;0.212
1557619569.503;200;0.210;0.212
1557619569.727;200;0.222;0.224
1557619569.923;200;0.193;0.196
1557619570.139;200;0.214;0.216
1557619570.358;200;0.217;0.220
1557619570.586;200;0.226;0.228
1557619570.788;200;0.200;0.200
1557619570.996;200;0.206;0.204
1557619571.215;200;0.216;0.220
1557619571.440;200;0.223;0.224
1557619571.637;200;0.195;0.196
1557619571.843;200;0.203;0.208
1557619572.055;200;0.210;0.212
1557619572.289;200;0.230;0.236
1557619572.489;200;0.196;0.200
1557619572.690;200;0.197;0.200
1557619572.902;200;0.210;0.208
1557619573.123;200;0.218;0.224
1557619573.339;200;0.212;0.212
1557619573.541;200;0.199;0.200
1557619573.753;200;0.205;0.208
1557619573.992;200;0.236;0.240
1557619574.200;200;0.206;0.204
1557619574.401;200;0.197;0.200
1557619574.608;200;0.204;0.208
1557619574.837;200;0.226;0.228
1557619575.045;200;0.205;0.208
1557619575.247;200;0.199;0.204
1557619575.482;200;0.232;0.236
1557619575.711;200;0.227;0.228
1557619575.911;200;0.198;0.200
1557619576.109;200;0.196;0.196
1557619576.300;200;0.188;0.192
1557619576.516;200;0.214;0.216
1557619576.719;200;0.199;0.204
1557619576.924;200;0.201;0.200
1557619577.134;200;0.205;0.208
1557619577.355;200;0.219;0.216
1557619577.575;200;0.218;0.224
1557619577.780;200;0.203;0.204
1557619577.989;200;0.206;0.204
1557619578.204;200;0.213;0.212
1557619578.407;200;0.200;0.204
1557619578.612;200;0.201;0.204
1557619578.814;200;0.199;0.204
1557619579.041;200;0.225;0.224
1557619579.242;200;0.199;0.204
1557619579.439;200;0.193;0.196
1557619579.634;200;0.193;0.196
1557619579.866;200;0.219;0.220
1557619580.071;200;0.203;0.208
1557619580.277;200;0.205;0.204
1557619580.485;200;0.205;0.208
1557619580.706;200;0.219;0.224
1557619580.919;200;0.211;0.212
1557619581.128;200;0.207;0.204
1557619581.338;200;0.206;0.208
1557619581.569;200;0.228;0.232
1557619581.776;200;0.204;0.204
1557619581.977;200;0.198;0.200
1557619582.196;200;0.215;0.220
1557619582.428;200;0.229;0.228
1557619582.627;200;0.195;0.200
1557619582.832;200;0.203;0.204
1557619583.040;200;0.206;0.204
1557619583.276;200;0.235;0.240
1557619583.490;200;0.212;0.216
1557619583.694;200;0.202;0.204
1557619583.904;200;0.207;0.204
1557619584.121;200;0.216;0.216
1557619584.325;200;0.202;0.204
1557619584.536;200;0.209;0.208
1557619584.739;200;0.201;0.204
1557619584.972;200;0.231;0.232
1557619585.177;200;0.204;0.204
1557619585.380;200;0.199;0.204
1557619585.584;200;0.201;0.204
1557619585.823;200;0.237;0.240
1557619586.032;200;0.207;0.204
1557619586.235;200;0.199;0.204
1557619586.415;200;0.179;0.180
1557619586.641;200;0.224;0.224
1557619586.842;200;0.200;0.204
1557619587.036;200;0.191;0.192
1557619587.244;200;0.207;0.204
1557619587.465;200;0.220;0.224
1557619587.665;200;0.198;0.200
1557619587.879;200;0.211;0.212
1557619588.072;200;0.192;0.196
1557619588.287;200;0.213;0.216
1557619588.499;200;0.211;0.212
1557619588.700;200;0.199;0.200
1557619588.875;200;0.173;0.172
1557619589.099;200;0.222;0.224
1557619589.299;200;0.198;0.200
1557619589.499;200;0.197;0.200
1557619589.676;200;0.175;0.176
1557619589.895;200;0.216;0.220
1557619590.099;200;0.202;0.204
1557619590.304;200;0.203;0.204
1557619590.525;200;0.217;0.220
1557619590.742;200;0.214;0.220
1557619590.949;200;0.205;0.204
1557619591.150;200;0.199;0.204
1557619591.375;200;0.222;0.220
1557619591.589;200;0.212;0.212
1557619591.792;200;0.201;0.204
1557619592.000;200;0.204;0.204
1557619592.205;200;0.202;0.204
1557619592.439;200;0.231;0.236
1557619592.660;200;0.216;0.216
1557619592.863;200;0.200;0.204
1557619593.068;200;0.203;0.204
1557619593.289;200;0.219;0.220
1557619593.494;200;0.203;0.204
1557619593.711;200;0.215;0.220
1557619593.874;200;0.161;0.164
1557619594.102;200;0.226;0.228
1557619594.303;200;0.195;0.200
1557619594.503;200;0.197;0.200
1557619594.703;200;0.199;0.200
1557619594.936;200;0.231;0.232
1557619595.142;200;0.202;0.204
1557619595.353;200;0.209;0.208
1557619595.555;200;0.199;0.204
1557619595.774;200;0.217;0.220
1557619595.972;200;0.196;0.192
1557619596.188;200;0.215;0.216
1557619596.391;200;0.201;0.204
1557619596.614;200;0.221;0.224
1557619596.813;200;0.197;0.196
1557619597.019;200;0.204;0.204
1557619597.220;200;0.199;0.200
1557619597.452;200;0.230;0.232
1557619597.652;200;0.196;0.200
1557619597.851;200;0.197;0.200
1557619598.054;200;0.201;0.204
1557619598.273;200;0.216;0.216
1557619598.484;200;0.208;0.208
1557619598.691;200;0.204;0.204
1557619598.896;200;0.203;0.204
1557619599.132;200;0.232;0.236
1557619599.346;200;0.212;0.212
1557619599.559;200;0.210;0.216
1557619599.771;200;0.210;0.212
1557619600.000;200;0.227;0.224
1557619600.209;200;0.208;0.204
1557619600.409;200;0.197;0.200
1557619600.619;200;0.207;0.208
1557619600.844;200;0.223;0.224
1557619601.048;200;0.202;0.204
1557619601.253;200;0.202;0.204
1557619601.461;200;0.206;0.204
1557619601.683;200;0.218;0.224
1557619601.892;200;0.207;0.204
1557619602.097;200;0.202;0.204
1557619602.307;200;0.208;0.208
1557619602.529;200;0.218;0.220
1557619602.732;200;0.201;0.204
1557619602.932;200;0.198;0.200
1557619603.137;200;0.203;0.204
1557619603.355;200;0.216;0.216
1557619603.557;200;0.197;0.200
1557619603.757;200;0.197;0.200
1557619603.970;200;0.211;0.212
1557619604.208;200;0.235;0.240
1557619604.415;200;0.205;0.204
1557619604.613;200;0.196;0.196
1557619604.821;200;0.205;0.208
1557619605.089;200;0.266;0.268
1557619605.311;200;0.213;0.216
1557619605.507;200;0.195;0.196
1557619605.718;200;0.209;0.212
1557619605.940;200;0.221;0.220
1557619606.143;200;0.202;0.204
1557619606.340;200;0.196;0.192
1557619606.554;200;0.212;0.212
1557619606.780;200;0.225;0.224
1557619606.988;200;0.205;0.204
1557619607.191;200;0.200;0.204
1557619607.398;200;0.206;0.204
1557619607.617;200;0.216;0.220
1557619607.813;200;0.192;0.196
1557619608.029;200;0.196;0.200
1557619608.233;200;0.202;0.204
1557619608.448;200;0.213;0.216
1557619608.657;200;0.207;0.208
1557619608.865;200;0.206;0.204
1557619609.067;200;0.200;0.204
1557619609.283;200;0.214;0.216
1557619609.477;200;0.193;0.192
1557619609.686;200;0.207;0.208
1557619609.893;200;0.205;0.208
1557619610.120;200;0.224;0.228
1557619610.327;200;0.205;0.204
1557619610.525;200;0.196;0.196
1557619610.732;200;0.202;0.200
1557619610.961;200;0.227;0.224
1557619611.165;200;0.201;0.204
1557619611.362;200;0.195;0.200
1557619611.566;200;0.202;0.204
1557619611.803;200;0.236;0.232
1557619612.025;200;0.220;0.220
1557619612.227;200;0.199;0.200
1557619612.435;200;0.205;0.204
1557619612.665;200;0.228;0.228
1557619612.875;200;0.208;0.208
1557619613.074;200;0.197;0.200
1557619613.280;200;0.204;0.204
1557619613.501;200;0.216;0.216
1557619613.699;200;0.196;0.200
1557619613.908;200;0.207;0.204
1557619614.117;200;0.207;0.204
1557619614.342;200;0.222;0.224
1557619614.554;200;0.211;0.216
1557619614.780;200;0.224;0.220
1557619614.991;200;0.208;0.208
1557619615.221;200;0.228;0.232
1557619615.423;200;0.200;0.204
1557619615.625;200;0.201;0.200
1557619615.845;200;0.217;0.220
1557619616.092;200;0.245;0.248
1557619616.313;200;0.219;0.220
1557619616.505;200;0.189;0.192
1557619616.722;200;0.213;0.220
1557619616.958;200;0.234;0.236
1557619617.160;200;0.200;0.200
1557619617.368;200;0.206;0.204
1557619617.578;200;0.209;0.208
1557619617.800;200;0.220;0.224
1557619618.004;200;0.203;0.204
1557619618.208;200;0.202;0.204
1557619618.388;200;0.178;0.176
1557619618.602;200;0.210;0.216
1557619618.804;200;0.198;0.200
1557619619.024;200;0.218;0.220
1557619619.196;200;0.171;0.172
1557619619.420;200;0.223;0.224
1557619619.627;200;0.205;0.204
1557619619.834;200;0.205;0.208
1557619620.018;200;0.182;0.184
1557619620.235;200;0.212;0.216
1557619620.443;200;0.207;0.204
1557619620.655;200;0.210;0.212
1557619620.865;200;0.208;0.208
1557619621.105;200;0.236;0.240
1557619621.311;200;0.204;0.204
1557619621.512;200;0.200;0.200
1557619621.712;200;0.198;0.200
1557619621.933;200;0.219;0.220
1557619622.138;200;0.201;0.204
1557619622.349;200;0.208;0.208
1557619622.562;200;0.209;0.208
1557619622.779;200;0.215;0.216
1557619622.978;200;0.198;0.200
1557619623.181;200;0.201;0.204
1557619623.399;200;0.215;0.216
1557619623.618;200;0.218;0.224
1557619623.827;200;0.206;0.204
1557619624.031;200;0.202;0.208
1557619624.233;200;0.199;0.200
1557619624.454;200;0.219;0.224
1557619624.652;200;0.196;0.192
1557619624.862;200;0.207;0.208
1557619625.068;200;0.204;0.208
1557619625.294;200;0.222;0.228
1557619625.506;200;0.211;0.212
1557619625.709;200;0.201;0.200
1557619625.920;200;0.209;0.208
1557619626.150;200;0.228;0.232
1557619626.368;200;0.215;0.216
1557619626.567;200;0.197;0.200
1557619626.778;200;0.209;0.208
1557619627.009;200;0.229;0.232
1557619627.223;200;0.212;0.216
1557619627.443;200;0.218;0.220
1557619627.664;200;0.219;0.216
1557619627.900;200;0.234;0.236
1557619628.113;200;0.211;0.212
1557619628.324;200;0.208;0.208
1557619628.545;200;0.220;0.220
1557619628.771;200;0.224;0.228
1557619628.974;200;0.200;0.200
1557619629.179;200;0.204;0.208
1557619629.394;200;0.213;0.212
1557619629.611;200;0.215;0.220
1557619629.815;200;0.202;0.204
1557619630.021;200;0.204;0.204
1557619630.239;200;0.215;0.220
1557619630.454;200;0.213;0.216
1557619630.651;200;0.195;0.192
1557619630.867;200;0.212;0.216
1557619631.074;200;0.205;0.204
1557619631.302;200;0.220;0.224
1557619631.511;200;0.206;0.204
1557619631.720;200;0.208;0.208
1557619631.933;200;0.211;0.212
1557619632.166;200;0.229;0.228
1557619632.383;200;0.212;0.216
1557619632.585;200;0.198;0.200
1557619632.798;200;0.210;0.212
1557619633.025;200;0.224;0.228
1557619633.232;200;0.204;0.204
1557619633.439;200;0.204;0.204
1557619633.649;200;0.208;0.208
1557619633.874;200;0.221;0.228
1557619634.077;200;0.201;0.200
1557619634.278;200;0.198;0.204
1557619634.488;200;0.207;0.204
1557619634.714;200;0.223;0.228
1557619634.913;200;0.197;0.196
1557619635.119;200;0.204;0.208
1557619635.333;200;0.211;0.208
1557619635.556;200;0.220;0.224
1557619635.758;200;0.201;0.204
1557619635.973;200;0.213;0.212
1557619636.201;200;0.226;0.228
1557619636.423;200;0.219;0.224
1557619636.623;200;0.198;0.200
1557619636.825;200;0.200;0.200
1557619637.035;200;0.208;0.208
1557619637.264;200;0.227;0.232
1557619637.468;200;0.202;0.204
1557619637.664;200;0.193;0.192
1557619637.866;200;0.201;0.204
1557619638.097;200;0.229;0.228
1557619638.297;200;0.198;0.200
1557619638.494;200;0.194;0.200
1557619638.695;200;0.199;0.200
1557619638.922;200;0.226;0.224
1557619639.132;200;0.209;0.208
1557619639.335;200;0.201;0.204
1557619639.540;200;0.203;0.204
1557619639.767;200;0.225;0.228
1557619639.969;200;0.199;0.200
1557619640.167;200;0.196;0.200
1557619640.408;200;0.239;0.240
1557619640.623;200;0.212;0.216
1557619640.820;200;0.196;0.196
1557619641.027;200;0.204;0.204
1557619641.229;200;0.200;0.200
1557619641.457;200;0.226;0.228
1557619641.669;200;0.210;0.208
1557619641.873;200;0.201;0.204
1557619642.090;200;0.214;0.220
1557619642.320;200;0.227;0.228
1557619642.527;200;0.204;0.204
1557619642.736;200;0.208;0.208
1557619642.952;200;0.214;0.216
1557619643.185;200;0.230;0.232
1557619643.389;200;0.202;0.200
1557619643.586;200;0.195;0.200
1557619643.788;200;0.200;0.200
1557619644.021;200;0.232;0.232
1557619644.226;200;0.203;0.204
1557619644.418;200;0.189;0.196
1557619644.627;200;0.205;0.204
1557619644.849;200;0.219;0.220
1557619645.048;200;0.197;0.200
1557619645.257;200;0.207;0.204
1557619645.464;200;0.205;0.204
1557619645.685;200;0.219;0.220
1557619645.887;200;0.199;0.200
1557619646.096;200;0.207;0.208
1557619646.305;200;0.207;0.204
1557619646.516;200;0.210;0.208
1557619646.714;200;0.197;0.204
1557619646.913;200;0.197;0.196
1557619647.124;200;0.208;0.208
1557619647.340;200;0.215;0.216
1557619647.545;200;0.204;0.204
1557619647.737;200;0.189;0.192
1557619647.943;200;0.204;0.204
1557619648.177;200;0.229;0.232
1557619648.389;200;0.208;0.208
1557619648.590;200;0.199;0.204
1557619648.793;200;0.201;0.196
1557619649.021;200;0.225;0.228
1557619649.221;200;0.197;0.200
1557619649.413;200;0.189;0.192
1557619649.616;200;0.201;0.204
1557619649.840;200;0.222;0.224
1557619650.052;200;0.211;0.208
1557619650.261;200;0.205;0.208
1557619650.477;200;0.214;0.216
1557619650.692;200;0.213;0.216
1557619650.894;200;0.199;0.204
1557619651.100;200;0.202;0.204
1557619651.309;200;0.208;0.208
1557619651.531;200;0.220;0.224
1557619651.733;200;0.201;0.200
1557619651.941;200;0.206;0.208
1557619652.157;200;0.214;0.216
1557619652.375;200;0.215;0.216
1557619652.569;200;0.190;0.192
1557619652.769;200;0.198;0.200
1557619652.977;200;0.206;0.208
1557619653.211;200;0.232;0.236
1557619653.414;200;0.201;0.200
1557619653.608;200;0.193;0.196
1557619653.807;200;0.197;0.200
1557619654.044;200;0.235;0.236
1557619654.246;200;0.200;0.200
1557619654.445;200;0.197;0.196
1557619654.645;200;0.197;0.200
1557619654.881;200;0.233;0.232
1557619655.078;200;0.194;0.200
1557619655.278;200;0.197;0.200
1557619655.480;200;0.200;0.200
1557619655.689;200;0.207;0.204
1557619655.884;200;0.193;0.192
1557619656.091;200;0.205;0.204
1557619656.311;200;0.218;0.220
1557619656.533;200;0.220;0.220
1557619656.733;200;0.197;0.196
1557619656.926;200;0.191;0.196
1557619657.130;200;0.202;0.204
1557619657.350;200;0.218;0.216
1557619657.562;200;0.210;0.216
1557619657.763;200;0.199;0.200
1557619657.961;200;0.196;0.196
1557619658.175;200;0.211;0.216
1557619658.378;200;0.202;0.200
1557619658.573;200;0.194;0.196
1557619658.771;200;0.196;0.200
1557619659.025;200;0.252;0.252
1557619659.226;200;0.200;0.204
1557619659.433;200;0.205;0.204
1557619659.638;200;0.204;0.204
1557619659.865;200;0.225;0.228
1557619660.061;200;0.194;0.196
1557619660.267;200;0.204;0.204
1557619660.475;200;0.206;0.204
1557619660.697;200;0.220;0.220
1557619660.903;200;0.202;0.204
1557619661.112;200;0.207;0.208
1557619661.313;200;0.200;0.200
1557619661.524;200;0.207;0.208
1557619661.723;200;0.197;0.200
1557619661.931;200;0.206;0.204
1557619662.141;200;0.208;0.208
1557619662.357;200;0.214;0.216
1557619662.562;200;0.201;0.208
1557619662.758;200;0.194;0.192
1557619662.969;200;0.209;0.208
1557619663.215;200;0.243;0.248
1557619663.428;200;0.211;0.212
1557619663.638;200;0.208;0.208
1557619663.844;200;0.204;0.208
1557619664.079;200;0.232;0.236
1557619664.294;200;0.209;0.208
1557619664.497;200;0.201;0.204
1557619664.698;200;0.198;0.204
1557619664.962;200;0.262;0.260
1557619665.178;200;0.204;0.208
1557619665.377;200;0.189;0.192
1557619665.599;200;0.219;0.224
1557619665.828;200;0.228;0.228
1557619666.028;200;0.199;0.200
1557619666.237;200;0.208;0.208
1557619666.448;200;0.209;0.208
1557619666.660;200;0.210;0.208
1557619666.865;200;0.201;0.204
1557619667.076;200;0.207;0.208
1557619667.273;200;0.196;0.196
1557619667.499;200;0.223;0.228
1557619667.719;200;0.218;0.220
1557619667.916;200;0.196;0.196
1557619668.116;200;0.198;0.200
1557619668.340;200;0.223;0.220
1557619668.541;200;0.199;0.200
1557619668.736;200;0.192;0.196
1557619668.948;200;0.209;0.208
1557619669.181;200;0.231;0.232
1557619669.394;200;0.209;0.212
1557619669.593;200;0.197;0.200
1557619669.793;200;0.197;0.200
