timestamp;status;request_time;upstream_response_time
1558410605.048;200;0.737;0.736
1558410605.816;200;0.723;0.724
1558410606.620;200;0.800;0.800
1558410607.447;200;0.824;0.824
1558410608.264;200;0.813;0.816
1558410609.052;200;0.762;0.764
1558410609.809;200;0.753;0.756
1558410610.621;200;0.808;0.812
1558410611.380;200;0.756;0.756
1558410612.152;200;0.767;0.772
1558410612.950;200;0.794;0.796
1558410613.761;200;0.807;0.808
1558410614.516;200;0.751;0.756
1558410615.233;200;0.711;0.712
1558410615.993;200;0.752;0.756
1558410616.868;200;0.871;0.872
1558410617.614;200;0.743;0.744
1558410618.372;200;0.754;0.756
1558410619.141;200;0.765;0.768
1558410619.983;200;0.838;0.840
1558410620.721;200;0.733;0.736
1558410621.426;200;0.701;0.704
1558410622.184;200;0.755;0.756
1558410623.055;200;0.864;0.864
1558410623.809;200;0.751;0.752
1558410624.517;200;0.704;0.704
1558410625.284;200;0.763;0.764
1558410626.048;200;0.760;0.760
1558410626.809;200;0.757;0.760
1558410627.543;200;0.730;0.732
1558410628.341;200;0.793;0.796
1558410629.160;200;0.808;0.812
1558410629.923;200;0.758;0.756
1558410630.655;200;0.728;0.728
1558410631.395;200;0.735;0.736
1558410632.238;200;0.839;0.840
1558410632.992;200;0.749;0.752
1558410633.726;200;0.730;0.732
1558410634.514;200;0.784;0.784
1558410635.330;200;0.810;0.812
1558410636.101;200;0.766;0.768
1558410636.800;200;0.692;0.696
1558410637.546;200;0.742;0.744
1558410638.387;200;0.837;0.836
1558410639.159;200;0.769;0.768
1558410639.901;200;0.739;0.740
1558410640.669;200;0.765;0.768
1558410641.467;200;0.795;0.796
1558410642.235;200;0.765;0.764
1558410642.961;200;0.724;0.724
1558410643.726;200;0.762;0.764
1558410644.519;200;0.790;0.792
1558410645.254;200;0.731;0.732
1558410645.967;200;0.709;0.708
1558410646.719;200;0.750;0.752
1558410647.536;200;0.814;0.816
1558410648.283;200;0.744;0.744
1558410648.997;200;0.711;0.712
1558410649.672;200;0.673;0.672
1558410650.472;200;0.796;0.800
1558410651.215;200;0.740;0.740
1558410651.938;200;0.720;0.720
1558410652.718;200;0.777;0.780
1558410653.568;200;0.846;0.848
1558410654.312;200;0.739;0.740
1558410655.057;200;0.739;0.740
1558410655.815;200;0.754;0.752
1558410656.663;200;0.845;0.844
1558410657.431;200;0.762;0.764
1558410658.160;200;0.723;0.728
1558410658.873;200;0.710;0.712
1558410659.681;200;0.802;0.804
1558410660.413;200;0.725;0.728
1558410661.145;200;0.728;0.728
1558410661.939;200;0.791;0.792
1558410662.830;200;0.887;0.888
1558410663.555;200;0.722;0.724
1558410664.276;200;0.716;0.716
1558410665.025;200;0.741;0.744
1558410665.855;200;0.826;0.828
1558410666.603;200;0.746;0.748
1558410667.312;200;0.707;0.704
1558410668.069;200;0.754;0.756
1558410668.882;200;0.808;0.808
1558410669.625;200;0.740;0.744
1558410670.352;200;0.723;0.724
1558410671.150;200;0.794;0.796
1558410671.965;200;0.812;0.816
1558410672.743;200;0.774;0.772
1558410673.461;200;0.714;0.716
1558410674.216;200;0.751;0.756
1558410675.024;200;0.804;0.808
1558410675.755;200;0.728;0.728
1558410676.476;200;0.718;0.720
1558410677.209;200;0.730;0.732
1558410678.036;200;0.824;0.824
1558410678.776;200;0.736;0.740
1558410679.480;200;0.701;0.700
1558410680.284;200;0.801;0.800
1558410681.087;200;0.799;0.800
1558410681.827;200;0.734;0.736
1558410682.573;200;0.743;0.744
1558410683.232;200;0.656;0.656
1558410684.049;200;0.813;0.816
1558410684.812;200;0.725;0.728
1558410685.577;200;0.762;0.764
1558410686.308;200;0.728;0.728
1558410687.101;200;0.789;0.792
1558410687.847;200;0.743;0.744
1558410688.568;200;0.717;0.720
1558410689.272;200;0.702;0.704
1558410690.089;200;0.812;0.816
1558410690.829;200;0.737;0.740
1558410691.574;200;0.743;0.744
1558410692.338;200;0.760;0.760
1558410693.231;200;0.889;0.888
1558410693.996;200;0.757;0.760
1558410694.706;200;0.700;0.700
1558410695.463;200;0.746;0.748
1558410696.271;200;0.805;0.804
1558410697.041;200;0.768;0.764
1558410697.771;200;0.726;0.724
1558410698.549;200;0.774;0.776
1558410699.376;200;0.823;0.820
1558410700.111;200;0.731;0.732
1558410700.825;200;0.708;0.712
1558410701.611;200;0.779;0.780
1558410702.412;200;0.797;0.796
1558410703.191;200;0.775;0.776
1558410703.915;200;0.720;0.720
1558410704.720;200;0.801;0.800
1558410705.511;200;0.787;0.788
1558410706.269;200;0.755;0.752
1558410706.999;200;0.726;0.728
1558410707.823;200;0.821;0.820
1558410708.626;200;0.800;0.800
1558410709.381;200;0.752;0.756
1558410710.084;200;0.700;0.700
1558410710.828;200;0.742;0.744
1558410711.620;200;0.790;0.788
1558410712.381;200;0.759;0.760
1558410713.155;200;0.771;0.772
1558410713.933;200;0.776;0.776
1558410714.772;200;0.835;0.836
1558410715.487;200;0.713;0.712
1558410716.202;200;0.712;0.712
1558410716.945;200;0.739;0.740
1558410717.741;200;0.793;0.796
1558410718.463;200;0.719;0.720
1558410719.183;200;0.718;0.716
1558410719.925;200;0.740;0.740
1558410720.727;200;0.799;0.800
1558410721.469;200;0.739;0.740
1558410722.180;200;0.706;0.708
1558410722.931;200;0.747;0.748
1558410723.731;200;0.797;0.796
1558410724.464;200;0.730;0.732
