[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 07:44:47:172 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 07:44:57:106 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=840191, Min=727040, Avg=785792, 90=823807, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-21 07:45:07:104 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=863743, Min=723968, Avg=777944.62, 90=832511, 99=863743, 99.9=863743, 99.99=863743] 
2019-05-21 07:45:17:104 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=862207, Min=707584, Avg=763214.77, 90=799231, 99=862207, 99.9=862207, 99.99=862207] 
2019-05-21 07:45:27:104 40 sec: 50 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=855551, Min=719360, Avg=779306.67, 90=828927, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-21 07:45:37:104 50 sec: 63 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=854527, Min=711680, Avg=773966.77, 90=824831, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 07:45:47:104 60 sec: 76 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=839679, Min=691712, Avg=771446.15, 90=838655, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-21 07:45:57:104 70 sec: 89 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=850943, Min=688128, Avg=773651.69, 90=840703, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-21 07:46:07:105 80 sec: 102 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=855039, Min=713216, Avg=768610.46, 90=829439, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-21 07:46:17:104 90 sec: 115 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=856063, Min=715264, Avg=770185.85, 90=828415, 99=856063, 99.9=856063, 99.99=856063] 
2019-05-21 07:46:27:104 100 sec: 128 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=895487, Min=716800, Avg=777708.31, 90=846847, 99=895487, 99.9=895487, 99.99=895487] 
2019-05-21 07:46:37:103 110 sec: 141 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=879103, Min=732160, Avg=779874.46, 90=871935, 99=879103, 99.9=879103, 99.99=879103] 
2019-05-21 07:46:47:104 120 sec: 154 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=824319, Min=688640, Avg=757543.38, 90=820223, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-21 07:46:57:104 130 sec: 167 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=859135, Min=723968, Avg=768925.54, 90=848895, 99=859135, 99.9=859135, 99.99=859135] 
2019-05-21 07:47:07:104 140 sec: 180 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=856575, Min=715264, Avg=783419.08, 90=837119, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-21 07:47:17:103 150 sec: 193 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=827903, Min=712704, Avg=762899.69, 90=826879, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-21 07:47:27:104 160 sec: 206 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=827391, Min=720896, Avg=770304, 90=820223, 99=827391, 99.9=827391, 99.99=827391] 
2019-05-21 07:47:37:103 170 sec: 219 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=847359, Min=724480, Avg=780898.46, 90=839167, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-21 07:47:47:104 180 sec: 232 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=843775, Min=721408, Avg=774242.46, 90=842239, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-21 07:47:57:104 190 sec: 245 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=827903, Min=717824, Avg=769870.77, 90=816639, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-21 07:48:07:104 200 sec: 257 operations; 1.2 current ops/sec; est completion in 16 minutes [READ: Count=12, Max=889343, Min=712704, Avg=777130.67, 90=835583, 99=889343, 99.9=889343, 99.99=889343] 
2019-05-21 07:48:17:104 210 sec: 271 operations; 1.4 current ops/sec; est completion in 15 minutes [READ: Count=14, Max=834559, Min=711680, Avg=759040, 90=821759, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-21 07:48:27:104 220 sec: 283 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=879103, Min=727040, Avg=774912, 90=822271, 99=879103, 99.9=879103, 99.99=879103] 
2019-05-21 07:48:37:103 230 sec: 296 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=855039, Min=710144, Avg=771170.46, 90=854015, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-21 07:48:47:104 240 sec: 310 operations; 1.4 current ops/sec; est completion in 15 minutes [READ: Count=14, Max=849919, Min=717312, Avg=764416, 90=828415, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-21 07:48:57:105 250 sec: 323 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=848895, Min=722432, Avg=769240.62, 90=817663, 99=848895, 99.9=848895, 99.99=848895] 
