timestamp;status;request_time;upstream_response_time
1558404537.426;200;0.768;0.768
1558404538.210;200;0.746;0.748
1558404538.996;200;0.781;0.780
1558404539.869;200;0.869;0.868
1558404540.660;200;0.788;0.788
1558404541.372;200;0.709;0.708
1558404542.178;200;0.783;0.784
1558404543.027;200;0.843;0.844
1558404543.778;200;0.747;0.748
1558404544.533;200;0.750;0.752
1558404545.302;200;0.765;0.768
1558404546.142;200;0.836;0.836
1558404546.900;200;0.753;0.752
1558404547.617;200;0.711;0.712
1558404548.382;200;0.760;0.760
1558404549.263;200;0.876;0.876
1558404550.013;200;0.747;0.744
1558404550.751;200;0.735;0.736
1558404551.502;200;0.748;0.748
1558404552.330;200;0.820;0.820
1558404553.094;200;0.760;0.760
1558404553.810;200;0.713;0.716
1558404554.546;200;0.732;0.732
1558404555.416;200;0.866;0.864
1558404556.181;200;0.762;0.760
1558404556.882;200;0.697;0.696
1558404557.642;200;0.756;0.756
1558404558.481;200;0.835;0.836
1558404559.221;200;0.737;0.736
1558404559.892;200;0.668;0.668
1558404560.639;200;0.745;0.744
1558404561.485;200;0.842;0.840
1558404562.257;200;0.766;0.764
1558404563.003;200;0.743;0.744
1558404563.772;200;0.765;0.764
1558404564.619;200;0.841;0.840
1558404565.360;200;0.738;0.736
1558404566.134;200;0.767;0.768
1558404566.898;200;0.757;0.756
1558404567.722;200;0.817;0.816
1558404568.475;200;0.749;0.748
1558404569.205;200;0.727;0.728
1558404569.999;200;0.790;0.792
1558404570.858;200;0.856;0.856
1558404571.589;200;0.727;0.724
1558404572.312;200;0.720;0.720
1558404573.065;200;0.750;0.752
1558404573.925;200;0.854;0.856
1558404574.684;200;0.757;0.756
1558404575.409;200;0.722;0.720
1558404576.165;200;0.753;0.752
1558404577.001;200;0.832;0.832
1558404577.750;200;0.745;0.744
1558404578.457;200;0.703;0.700
1558404579.209;200;0.750;0.748
1558404580.052;200;0.841;0.840
1558404580.797;200;0.743;0.744
1558404581.532;200;0.732;0.732
1558404582.287;200;0.752;0.752
1558404583.105;200;0.815;0.812
1558404583.846;200;0.739;0.740
1558404584.576;200;0.727;0.728
1558404585.346;200;0.768;0.768
1558404586.169;200;0.819;0.816
1558404586.899;200;0.728;0.728
1558404587.674;200;0.771;0.772
1558404588.402;200;0.725;0.728
1558404589.284;200;0.878;0.876
1558404590.038;200;0.752;0.752
1558404590.790;200;0.748;0.748
1558404591.578;200;0.785;0.788
1558404592.420;200;0.840;0.840
1558404593.152;200;0.729;0.728
1558404593.878;200;0.723;0.724
1558404594.633;200;0.752;0.756
1558404595.455;200;0.819;0.820
1558404596.213;200;0.756;0.760
1558404596.925;200;0.708;0.708
1558404597.757;200;0.826;0.828
1558404598.624;200;0.864;0.864
1558404599.362;200;0.735;0.736
1558404600.070;200;0.705;0.704
1558404600.767;200;0.694;0.692
1558404601.634;200;0.863;0.864
1558404602.370;200;0.732;0.732
1558404603.114;200;0.739;0.740
1558404603.934;200;0.812;0.812
1558404604.777;200;0.840;0.840
1558404605.522;200;0.743;0.744
1558404606.255;200;0.729;0.728
1558404607.006;200;0.747;0.748
1558404607.829;200;0.821;0.820
1558404608.559;200;0.728;0.728
1558404609.271;200;0.710;0.712
1558404610.030;200;0.756;0.756
1558404610.874;200;0.840;0.840
1558404611.630;200;0.748;0.748
1558404612.360;200;0.727;0.724
1558404613.159;200;0.796;0.796
1558404614.014;200;0.851;0.852
1558404614.748;200;0.729;0.728
1558404615.487;200;0.737;0.736
1558404616.245;200;0.752;0.752
1558404617.151;200;0.904;0.904
1558404617.895;200;0.740;0.740
1558404618.597;200;0.699;0.696
1558404619.450;200;0.851;0.852
