[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 01:12:42:853 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 01:12:52:794 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=847359, Min=700416, Avg=769024, 90=833535, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-21 01:13:02:791 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=851967, Min=705024, Avg=765144.62, 90=809471, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-21 01:13:12:790 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=822271, Min=703488, Avg=759906.46, 90=812543, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-21 01:13:22:791 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=872447, Min=684544, Avg=767586.46, 90=843775, 99=872447, 99.9=872447, 99.99=872447] 
2019-05-21 01:13:32:791 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=833023, Min=714240, Avg=770028.31, 90=826879, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-21 01:13:42:791 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=823295, Min=701952, Avg=768256, 90=816127, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-21 01:13:52:790 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=825343, Min=707072, Avg=752462.77, 90=820223, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-21 01:14:02:790 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=826367, Min=715776, Avg=768452.92, 90=809983, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-21 01:14:12:790 90 sec: 117 operations; 1.4 current ops/sec; est completion in 17 minutes [READ: Count=14, Max=826879, Min=717312, Avg=762806.86, 90=805375, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-21 01:14:22:790 100 sec: 130 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=858623, Min=707072, Avg=768177.23, 90=835071, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-21 01:14:32:791 110 sec: 143 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=814079, Min=704000, Avg=758291.69, 90=812031, 99=814079, 99.9=814079, 99.99=814079] 
2019-05-21 01:14:42:791 120 sec: 156 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=840703, Min=688128, Avg=766326.15, 90=821759, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-21 01:14:52:791 130 sec: 169 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=845311, Min=718848, Avg=758291.69, 90=828415, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-21 01:15:02:790 140 sec: 182 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=829439, Min=704000, Avg=763805.54, 90=823295, 99=829439, 99.9=829439, 99.99=829439] 
2019-05-21 01:15:12:790 150 sec: 195 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=842239, Min=715264, Avg=763529.85, 90=813567, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-21 01:15:22:791 160 sec: 208 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=848895, Min=714240, Avg=769752.62, 90=824319, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-21 01:15:32:791 170 sec: 221 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=838143, Min=706048, Avg=769595.08, 90=830975, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-21 01:15:42:791 180 sec: 234 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=854527, Min=681472, Avg=761048.62, 90=828927, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 01:15:52:790 190 sec: 247 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=862207, Min=709632, Avg=765577.85, 90=829439, 99=862207, 99.9=862207, 99.99=862207] 
2019-05-21 01:16:02:791 200 sec: 260 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=841215, Min=694272, Avg=768492.31, 90=821247, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-21 01:16:12:790 210 sec: 274 operations; 1.4 current ops/sec; est completion in 15 minutes [READ: Count=14, Max=814591, Min=711680, Avg=755858.29, 90=804863, 99=814591, 99.9=814591, 99.99=814591] 
2019-05-21 01:16:22:791 220 sec: 287 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=880127, Min=691200, Avg=768137.85, 90=832511, 99=880127, 99.9=880127, 99.99=880127] 
2019-05-21 01:16:32:790 230 sec: 300 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=811519, Min=709120, Avg=762033.23, 90=810495, 99=811519, 99.9=811519, 99.99=811519] 
2019-05-21 01:16:42:791 240 sec: 313 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=824319, Min=731648, Avg=769122.46, 90=821247, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-21 01:16:52:791 250 sec: 326 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=849407, Min=711680, Avg=767153.23, 90=810495, 99=849407, 99.9=849407, 99.99=849407] 
