[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 05:06:53:727 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 05:07:03:681 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=847359, Min=708096, Avg=775509.33, 90=841727, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-21 05:07:13:678 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=875007, Min=726016, Avg=778535.38, 90=839679, 99=875007, 99.9=875007, 99.99=875007] 
2019-05-21 05:07:23:679 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=854015, Min=712704, Avg=763529.85, 90=811519, 99=854015, 99.9=854015, 99.99=854015] 
2019-05-21 05:07:33:678 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=854527, Min=712192, Avg=773927.38, 90=839167, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 05:07:43:679 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=841215, Min=702464, Avg=766404.92, 90=833535, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-21 05:07:53:679 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=836607, Min=720384, Avg=767704.62, 90=831999, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-21 05:08:03:678 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=905727, Min=710144, Avg=773100.31, 90=849919, 99=905727, 99.9=905727, 99.99=905727] 
2019-05-21 05:08:13:679 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=834559, Min=708608, Avg=769043.69, 90=813567, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-21 05:08:23:679 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=855039, Min=656896, Avg=758252.31, 90=819711, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-21 05:08:33:679 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=842751, Min=716288, Avg=772982.15, 90=838143, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 05:08:43:678 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=814591, Min=656896, Avg=749981.54, 90=809983, 99=814591, 99.9=814591, 99.99=814591] 
2019-05-21 05:08:53:679 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=840191, Min=711680, Avg=764317.54, 90=810495, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-21 05:09:03:679 130 sec: 168 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=846335, Min=686080, Avg=768571.08, 90=829951, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-21 05:09:13:678 140 sec: 181 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=893951, Min=683008, Avg=765774.77, 90=824831, 99=893951, 99.9=893951, 99.99=893951] 
2019-05-21 05:09:23:679 150 sec: 194 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=829951, Min=680448, Avg=761009.23, 90=819711, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-21 05:09:33:679 160 sec: 207 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=835583, Min=721920, Avg=771564.31, 90=832511, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-21 05:09:43:678 170 sec: 220 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=848383, Min=701952, Avg=768846.77, 90=837119, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-21 05:09:53:679 180 sec: 234 operations; 1.4 current ops/sec; est completion in 16 minutes [READ: Count=14, Max=832511, Min=711168, Avg=757833.14, 90=827391, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-21 05:10:03:679 190 sec: 247 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=853503, Min=707072, Avg=757976.62, 90=825343, 99=853503, 99.9=853503, 99.99=853503] 
2019-05-21 05:10:13:680 200 sec: 260 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=910847, Min=713216, Avg=773533.54, 90=826879, 99=910847, 99.9=910847, 99.99=910847] 
2019-05-21 05:10:23:678 210 sec: 273 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=822271, Min=705024, Avg=760103.38, 90=810495, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-21 05:10:33:679 220 sec: 286 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=820223, Min=702976, Avg=758961.23, 90=813055, 99=820223, 99.9=820223, 99.99=820223] 
2019-05-21 05:10:43:680 230 sec: 299 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=821247, Min=700416, Avg=772312.62, 90=814591, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-21 05:10:53:678 240 sec: 312 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=856063, Min=715264, Avg=772509.54, 90=842751, 99=856063, 99.9=856063, 99.99=856063] 
2019-05-21 05:11:03:678 250 sec: 325 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=833535, Min=735232, Avg=766483.69, 90=822783, 99=833535, 99.9=833535, 99.99=833535] 
