timestamp;status;request_time;upstream_response_time
1558419901.847;200;0.869;0.868
1558419902.693;200;0.842;0.844
1558419903.458;200;0.763;0.764
1558419904.275;200;0.814;0.816
1558419905.120;200;0.841;0.844
1558419905.870;200;0.747;0.748
1558419906.640;200;0.766;0.764
1558419907.417;200;0.774;0.776
1558419908.261;200;0.841;0.844
1558419909.027;200;0.763;0.764
1558419909.769;200;0.738;0.740
1558419910.554;200;0.780;0.780
1558419911.403;200;0.845;0.844
1558419912.174;200;0.767;0.768
1558419912.936;200;0.758;0.756
1558419913.737;200;0.798;0.800
1558419914.599;200;0.860;0.860
1558419915.405;200;0.774;0.772
1558419916.189;200;0.779;0.781
1558419917.003;200;0.811;0.812
1558419917.846;200;0.839;0.840
1558419918.585;200;0.737;0.740
1558419919.341;200;0.753;0.756
1558419920.184;200;0.840;0.840
1558419921.066;200;0.879;0.880
1558419921.851;200;0.780;0.780
1558419922.614;200;0.760;0.760
1558419923.389;200;0.771;0.772
1558419924.241;200;0.847;0.848
1558419924.981;200;0.737;0.740
1558419925.711;200;0.727;0.728
1558419926.499;200;0.785;0.784
1558419927.341;200;0.839;0.840
1558419928.113;200;0.767;0.768
1558419928.877;200;0.761;0.760
1558419929.671;200;0.790;0.792
1558419930.493;200;0.819;0.820
1558419931.253;200;0.755;0.756
1558419932.027;200;0.772;0.772
1558419932.803;200;0.772;0.772
1558419933.634;200;0.828;0.828
1558419934.385;200;0.747;0.744
1558419935.117;200;0.728;0.732
1558419935.889;200;0.769;0.768
1558419936.691;200;0.797;0.796
1558419937.445;200;0.751;0.752
1558419938.220;200;0.772;0.772
1558419939.041;200;0.815;0.816
1558419939.889;200;0.843;0.840
1558419940.640;200;0.749;0.748
1558419941.353;200;0.708;0.708
1558419942.131;200;0.775;0.776
1558419942.957;200;0.823;0.824
1558419943.693;200;0.732;0.736
1558419944.430;200;0.735;0.736
1558419945.214;200;0.781;0.780
1558419946.047;200;0.830;0.832
1558419946.789;200;0.739;0.736
1558419947.504;200;0.713;0.712
1558419948.250;200;0.743;0.744
1558419949.089;200;0.836;0.840
1558419949.845;200;0.754;0.752
1558419950.531;200;0.684;0.684
