[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-20 23:41:54:978 0 sec: 0 operations; est completion in 106751991167300 days 15 hours 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-20 23:42:04:929 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=851455, Min=717312, Avg=776448, 90=850431, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-20 23:42:14:927 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=843263, Min=705536, Avg=764002.46, 90=807935, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-20 23:42:24:927 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=827903, Min=720896, Avg=762387.69, 90=810495, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-20 23:42:34:928 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=832511, Min=718848, Avg=771052.31, 90=818175, 99=832511, 99.9=832511, 99.99=832511] 
2019-05-20 23:42:44:927 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=861183, Min=710144, Avg=776723.69, 90=852479, 99=861183, 99.9=861183, 99.99=861183] 
2019-05-20 23:42:54:927 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=848383, Min=685568, Avg=755928.62, 90=824319, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-20 23:43:04:928 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=847359, Min=708608, Avg=769398.15, 90=823807, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-20 23:43:14:928 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=847871, Min=708608, Avg=772548.92, 90=831487, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-20 23:43:24:928 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=854015, Min=709120, Avg=774203.08, 90=829951, 99=854015, 99.9=854015, 99.99=854015] 
2019-05-20 23:43:34:927 100 sec: 129 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=855039, Min=700416, Avg=766365.54, 90=837119, 99=855039, 99.9=855039, 99.99=855039] 
2019-05-20 23:43:44:927 110 sec: 142 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=850943, Min=701952, Avg=763057.23, 90=819711, 99=850943, 99.9=850943, 99.99=850943] 
2019-05-20 23:43:54:927 120 sec: 155 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=850431, Min=719360, Avg=772391.38, 90=826879, 99=850431, 99.9=850431, 99.99=850431] 
2019-05-20 23:44:04:928 130 sec: 168 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=858111, Min=721408, Avg=779204.92, 90=854527, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-20 23:44:14:928 140 sec: 181 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=851455, Min=710656, Avg=768846.77, 90=827903, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-20 23:44:24:927 150 sec: 194 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=838655, Min=710656, Avg=771761.23, 90=832511, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-20 23:44:34:927 160 sec: 207 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=840703, Min=737792, Avg=768846.77, 90=817151, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-20 23:44:44:928 170 sec: 220 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=866815, Min=716288, Avg=777314.46, 90=840703, 99=866815, 99.9=866815, 99.99=866815] 
2019-05-20 23:44:54:927 180 sec: 233 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=825343, Min=708096, Avg=762505.85, 90=816639, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-20 23:45:04:927 190 sec: 246 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=822271, Min=716288, Avg=764750.77, 90=813567, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-20 23:45:14:927 200 sec: 259 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=814079, Min=708096, Avg=758291.69, 90=793087, 99=814079, 99.9=814079, 99.99=814079] 
2019-05-20 23:45:24:928 210 sec: 272 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=824319, Min=723968, Avg=773651.69, 90=820735, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-20 23:45:34:927 220 sec: 285 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=835583, Min=708096, Avg=754983.38, 90=815103, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-20 23:45:44:928 230 sec: 298 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=809471, Min=721408, Avg=758370.46, 90=801791, 99=809471, 99.9=809471, 99.99=809471] 
2019-05-20 23:45:54:928 240 sec: 311 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=849919, Min=724480, Avg=763332.92, 90=819711, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-20 23:46:04:927 250 sec: 324 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=839679, Min=722432, Avg=775108.92, 90=816639, 99=839679, 99.9=839679, 99.99=839679] 
