[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 03:29:47:525 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 03:29:57:471 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=838143, Min=703488, Avg=777386.67, 90=832511, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-21 03:30:07:468 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=866303, Min=710144, Avg=778299.08, 90=850431, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-21 03:30:17:468 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=833023, Min=711168, Avg=770776.62, 90=821759, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-21 03:30:27:468 40 sec: 50 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=839679, Min=704512, Avg=775424, 90=837631, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-21 03:30:37:468 50 sec: 63 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=841727, Min=713728, Avg=777235.69, 90=825343, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-21 03:30:47:468 60 sec: 76 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=851455, Min=704512, Avg=780347.08, 90=840191, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-21 03:30:57:468 70 sec: 89 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=847871, Min=706560, Avg=770185.85, 90=820223, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-21 03:31:07:468 80 sec: 102 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=831999, Min=706048, Avg=764475.08, 90=816639, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-21 03:31:17:469 90 sec: 115 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=856575, Min=721408, Avg=771485.54, 90=838143, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-21 03:31:27:468 100 sec: 128 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=846847, Min=709632, Avg=782788.92, 90=819199, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-21 03:31:37:468 110 sec: 141 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=878079, Min=717824, Avg=785782.15, 90=867327, 99=878079, 99.9=878079, 99.99=878079] 
2019-05-21 03:31:47:468 120 sec: 154 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=866303, Min=712192, Avg=769004.31, 90=824319, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-21 03:31:57:468 130 sec: 166 operations; 1.2 current ops/sec; est completion in 17 minutes [READ: Count=12, Max=839167, Min=721920, Avg=774442.67, 90=833535, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 03:32:07:468 140 sec: 179 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=815103, Min=708096, Avg=772273.23, 90=808959, 99=815103, 99.9=815103, 99.99=815103] 
2019-05-21 03:32:17:468 150 sec: 192 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=887807, Min=702976, Avg=779047.38, 90=837119, 99=887807, 99.9=887807, 99.99=887807] 
2019-05-21 03:32:27:468 160 sec: 205 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=842751, Min=700928, Avg=773612.31, 90=833535, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 03:32:37:468 170 sec: 218 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=837119, Min=712192, Avg=767389.54, 90=812543, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-21 03:32:47:468 180 sec: 231 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=848895, Min=702976, Avg=762033.23, 90=822783, 99=848895, 99.9=848895, 99.99=848895] 
2019-05-21 03:32:57:468 190 sec: 244 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=847871, Min=704000, Avg=764475.08, 90=822271, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-21 03:33:07:468 200 sec: 258 operations; 1.4 current ops/sec; est completion in 16 minutes [READ: Count=14, Max=843775, Min=718848, Avg=765001.14, 90=831487, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-21 03:33:17:468 210 sec: 270 operations; 1.2 current ops/sec; est completion in 15 minutes [READ: Count=12, Max=848383, Min=713728, Avg=775210.67, 90=825343, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-21 03:33:27:468 220 sec: 283 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=836095, Min=696320, Avg=776369.23, 90=832511, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-21 03:33:37:468 230 sec: 296 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=865791, Min=704000, Avg=781449.85, 90=855551, 99=865791, 99.9=865791, 99.99=865791] 
2019-05-21 03:33:47:468 240 sec: 309 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=895487, Min=712704, Avg=771446.15, 90=866303, 99=895487, 99.9=895487, 99.99=895487] 
2019-05-21 03:33:57:468 250 sec: 322 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=853503, Min=704000, Avg=773021.54, 90=852479, 99=853503, 99.9=853503, 99.99=853503] 
