[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-21 08:21:18:303 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-21 08:21:28:249 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=833535, Min=731136, Avg=780288, 90=822271, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-21 08:21:38:247 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=830463, Min=719872, Avg=766444.31, 90=807935, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-21 08:21:48:246 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=840191, Min=729088, Avg=773139.69, 90=825343, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-21 08:21:58:246 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=831487, Min=728064, Avg=770579.69, 90=826879, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-21 08:22:08:246 50 sec: 63 operations; 1.2 current ops/sec; est completion in 19 minutes [READ: Count=12, Max=854527, Min=728576, Avg=788906.67, 90=827903, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 08:22:18:247 60 sec: 76 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=840191, Min=729088, Avg=771761.23, 90=806911, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-21 08:22:28:247 70 sec: 89 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=826879, Min=714240, Avg=764356.92, 90=807935, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-21 08:22:38:246 80 sec: 102 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=849919, Min=725504, Avg=771485.54, 90=801791, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-21 08:22:48:246 90 sec: 115 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=815615, Min=735744, Avg=765696, 90=801279, 99=815615, 99.9=815615, 99.99=815615] 
2019-05-21 08:22:58:246 100 sec: 128 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=836607, Min=721920, Avg=772864, 90=827903, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-21 08:23:08:247 110 sec: 141 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=841215, Min=709632, Avg=764475.08, 90=831999, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-21 08:23:18:247 120 sec: 154 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=834559, Min=726016, Avg=773415.38, 90=827391, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-21 08:23:28:247 130 sec: 167 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=842751, Min=716800, Avg=773651.69, 90=834559, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 08:23:38:246 140 sec: 180 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=823807, Min=719360, Avg=777944.62, 90=813055, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-21 08:23:48:248 150 sec: 193 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=818175, Min=716800, Avg=770737.23, 90=811007, 99=818175, 99.9=818175, 99.99=818175] 
2019-05-21 08:23:58:246 160 sec: 206 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=825855, Min=694784, Avg=759670.15, 90=812543, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-21 08:24:08:247 170 sec: 219 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=854527, Min=730624, Avg=775227.08, 90=835071, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 08:24:18:248 180 sec: 232 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=833535, Min=714752, Avg=770855.38, 90=830975, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-21 08:24:28:246 190 sec: 245 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=840703, Min=730624, Avg=767625.85, 90=818687, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-21 08:24:38:246 200 sec: 258 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=820223, Min=715776, Avg=768177.23, 90=813567, 99=820223, 99.9=820223, 99.99=820223] 
2019-05-21 08:24:48:248 210 sec: 271 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=834559, Min=709632, Avg=767901.54, 90=831999, 99=834559, 99.9=834559, 99.99=834559] 
2019-05-21 08:24:58:246 220 sec: 284 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=837119, Min=720384, Avg=762308.92, 90=827391, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-21 08:25:08:246 230 sec: 297 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=873983, Min=735232, Avg=772627.69, 90=853503, 99=873983, 99.9=873983, 99.99=873983] 
2019-05-21 08:25:18:246 240 sec: 310 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=842239, Min=707072, Avg=771328, 90=836607, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-21 08:25:28:247 250 sec: 323 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=841727, Min=673280, Avg=772233.85, 90=836095, 99=841727, 99.9=841727, 99.99=841727] 
