timestamp;status;request_time;upstream_response_time
1558380483.499;200;0.741;0.744
1558380484.253;200;0.720;0.716
1558380485.010;200;0.752;0.756
1558380485.878;200;0.864;0.868
1558380486.607;200;0.725;0.728
1558380487.329;200;0.715;0.716
1558380488.065;200;0.732;0.736
1558380488.907;200;0.821;0.824
1558380489.674;200;0.758;0.764
1558380490.407;200;0.725;0.728
1558380491.166;200;0.753;0.760
1558380491.982;200;0.808;0.812
1558380492.734;200;0.745;0.752
1558380493.452;200;0.713;0.716
1558380494.201;200;0.745;0.748
1558380495.027;200;0.817;0.820
1558380495.770;200;0.740;0.744
1558380496.470;200;0.693;0.700
1558380497.229;200;0.754;0.756
1558380498.052;200;0.819;0.824
1558380498.791;200;0.734;0.740
1558380499.479;200;0.684;0.688
1558380500.267;200;0.784;0.784
1558380501.104;200;0.832;0.836
1558380501.856;200;0.749;0.752
1558380502.641;200;0.781;0.784
1558380503.349;200;0.702;0.704
1558380504.164;200;0.811;0.812
1558380504.921;200;0.753;0.756
1558380505.614;200;0.688;0.692
1558380506.406;200;0.787;0.792
1558380507.230;200;0.819;0.824
1558380507.984;200;0.750;0.752
1558380508.699;200;0.712;0.716
1558380509.459;200;0.755;0.760
1558380510.264;200;0.802;0.800
1558380511.037;200;0.769;0.772
1558380511.757;200;0.716;0.720
1558380512.544;200;0.782;0.780
1558380513.367;200;0.819;0.824
1558380514.147;200;0.776;0.776
1558380514.862;200;0.710;0.716
1558380515.607;200;0.741;0.744
1558380516.520;200;0.910;0.912
1558380517.260;200;0.736;0.736
1558380517.991;200;0.726;0.732
1558380518.732;200;0.738;0.740
1558380519.580;200;0.845;0.848
1558380520.321;200;0.736;0.740
1558380521.031;200;0.706;0.712
1558380521.807;200;0.771;0.776
1558380522.636;200;0.824;0.828
1558380523.377;200;0.737;0.740
1558380524.097;200;0.716;0.716
1558380524.885;200;0.784;0.788
1558380525.738;200;0.849;0.852
1558380526.483;200;0.740;0.744
1558380527.225;200;0.739;0.740
1558380527.980;200;0.751;0.752
1558380528.812;200;0.828;0.832
1558380529.550;200;0.732;0.732
1558380530.296;200;0.742;0.744
1558380531.076;200;0.775;0.780
1558380531.974;200;0.887;0.888
1558380532.731;200;0.749;0.752
1558380533.461;200;0.724;0.728
1558380534.229;200;0.766;0.768
1558380535.045;200;0.814;0.816
1558380535.778;200;0.730;0.732
1558380536.505;200;0.723;0.724
1558380537.309;200;0.800;0.800
1558380538.103;200;0.790;0.792
1558380538.833;200;0.725;0.728
1558380539.547;200;0.710;0.708
1558380540.198;200;0.648;0.648
1558380541.048;200;0.847;0.852
1558380541.781;200;0.731;0.728
1558380542.506;200;0.719;0.724
1558380543.225;200;0.714;0.716
1558380544.085;200;0.857;0.860
1558380544.828;200;0.740;0.740
1558380545.547;200;0.717;0.716
1558380546.324;200;0.772;0.776
1558380547.135;200;0.803;0.804
1558380547.861;200;0.720;0.724
1558380548.585;200;0.719;0.720
1558380549.476;200;0.887;0.888
1558380550.300;200;0.819;0.820
1558380551.037;200;0.735;0.736
1558380551.777;200;0.734;0.736
1558380552.613;200;0.830;0.832
1558380553.452;200;0.834;0.836
1558380554.204;200;0.749;0.748
1558380554.941;200;0.735;0.736
1558380555.741;200;0.751;0.752
1558380556.615;200;0.869;0.872
1558380557.363;200;0.745;0.748
1558380558.100;200;0.734;0.736
1558380558.905;200;0.801;0.804
1558380559.740;200;0.831;0.836
1558380560.492;200;0.746;0.748
1558380561.263;200;0.768;0.772
1558380562.052;200;0.786;0.788
1558380562.861;200;0.806;0.808
1558380563.603;200;0.739;0.744
1558380564.340;200;0.734;0.736
1558380565.078;200;0.736;0.740
1558380565.901;200;0.819;0.820
1558380566.619;200;0.715;0.720
1558380567.345;200;0.724;0.724
1558380568.106;200;0.758;0.760
1558380568.910;200;0.801;0.804
1558380569.630;200;0.718;0.716
1558380570.346;200;0.713;0.720
1558380571.114;200;0.764;0.764
1558380571.937;200;0.819;0.820
1558380572.707;200;0.766;0.772
1558380573.445;200;0.733;0.736
1558380574.201;200;0.752;0.756
1558380575.017;200;0.813;0.816
1558380575.782;200;0.762;0.764
1558380576.516;200;0.731;0.736
1558380577.314;200;0.794;0.800
1558380578.221;200;0.902;0.904
1558380579.008;200;0.783;0.780
1558380579.803;200;0.791;0.792
1558380580.594;200;0.787;0.792
1558380581.581;200;0.981;0.984
1558380582.389;200;0.804;0.808
1558380583.230;200;0.836;0.840
1558380584.242;200;1.009;1.012
1558380585.118;200;0.873;0.876
1558380585.909;200;0.788;0.788
1558380586.669;200;0.753;0.756
1558380587.492;200;0.820;0.824
1558380588.365;200;0.871;0.872
1558380589.161;200;0.791;0.792
1558380589.964;200;0.800;0.804
1558380590.853;200;0.887;0.884
