[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-20 19:28:02:334 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-20 19:28:12:276 10 sec: 12 operations; 1.2 current ops/sec; est completion in 27 minutes [READ: Count=12, Max=867839, Min=719360, Avg=770090.67, 90=825855, 99=867839, 99.9=867839, 99.99=867839] 
2019-05-20 19:28:22:271 20 sec: 25 operations; 1.3 current ops/sec; est completion in 26 minutes [READ: Count=13, Max=836607, Min=687616, Avg=759000.62, 90=824319, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-20 19:28:32:270 30 sec: 38 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=822783, Min=693760, Avg=761166.77, 90=815615, 99=822783, 99.9=822783, 99.99=822783] 
2019-05-20 19:28:42:271 40 sec: 51 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=913407, Min=709120, Avg=772785.23, 90=848895, 99=913407, 99.9=913407, 99.99=913407] 
2019-05-20 19:28:52:270 50 sec: 64 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=902655, Min=719872, Avg=781961.85, 90=854527, 99=902655, 99.9=902655, 99.99=902655] 
2019-05-20 19:29:02:270 60 sec: 77 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=849407, Min=649728, Avg=753683.69, 90=816639, 99=849407, 99.9=849407, 99.99=849407] 
2019-05-20 19:29:12:273 70 sec: 90 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=889855, Min=716288, Avg=768256, 90=860159, 99=889855, 99.9=889855, 99.99=889855] 
2019-05-20 19:29:22:270 80 sec: 103 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=873983, Min=736256, Avg=789838.77, 90=837631, 99=873983, 99.9=873983, 99.99=873983] 
2019-05-20 19:29:32:270 90 sec: 116 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=822271, Min=716800, Avg=759906.46, 90=821759, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-20 19:29:42:271 100 sec: 128 operations; 1.2 current ops/sec; est completion in 24 minutes [READ: Count=12, Max=986111, Min=734208, Avg=803285.33, 90=906239, 99=986111, 99.9=986111, 99.99=986111] 
2019-05-20 19:29:52:270 110 sec: 140 operations; 1.2 current ops/sec; est completion in 24 minutes [READ: Count=12, Max=1047039, Min=755200, Avg=859520, 90=1011711, 99=1047039, 99.9=1047039, 99.99=1047039] 
2019-05-20 19:30:02:272 120 sec: 148 operations; 0.8 current ops/sec; est completion in 25 minutes [READ: Count=8, Max=939007, Min=809984, Avg=885248, 90=930815, 99=939007, 99.9=939007, 99.99=939007] 
2019-05-20 19:30:10:692 128 sec: 2000 operations; 219.9 current ops/sec; [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [CLEANUP: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [READ-FAILED: Count=1852, Max=3911679, Min=1659, Avg=6268.8, 90=6723, 99=9335, 99.9=24031, 99.99=3911679] 
