timestamp;status;request_time;upstream_response_time
1558038911.797;200;0.799;0.796
1558038912.595;200;0.759;0.760
1558038913.401;200;0.802;0.800
1558038914.259;200;0.854;0.856
1558038915.062;200;0.797;0.800
1558038915.847;200;0.748;0.748
1558038916.585;200;0.734;0.732
1558038917.428;200;0.837;0.836
1558038918.216;200;0.784;0.784
1558038918.978;200;0.758;0.760
1558038919.686;200;0.704;0.704
1558038920.574;200;0.883;0.884
1558038921.337;200;0.759;0.756
1558038922.112;200;0.771;0.772
1558038922.823;200;0.706;0.708
1558038923.701;200;0.873;0.872
1558038924.472;200;0.764;0.764
1558038925.282;200;0.806;0.808
1558038926.031;200;0.746;0.748
1558038926.877;200;0.841;0.840
1558038927.657;200;0.776;0.776
1558038928.432;200;0.772;0.772
1558038929.196;200;0.760;0.760
1558038930.054;200;0.854;0.856
1558038930.838;200;0.779;0.780
1558038931.623;200;0.780;0.780
1558038932.400;200;0.774;0.772
1558038933.267;200;0.861;0.860
1558038934.078;200;0.807;0.808
1558038934.870;200;0.789;0.792
1558038935.591;200;0.718;0.716
1558038936.460;200;0.864;0.864
1558038937.230;200;0.766;0.768
1558038937.990;200;0.755;0.756
1558038938.734;200;0.739;0.741
1558038939.594;200;0.855;0.856
1558038940.352;200;0.754;0.752
1558038941.153;200;0.796;0.796
1558038941.928;200;0.769;0.768
1558038942.856;200;0.921;0.920
1558038943.645;200;0.785;0.788
1558038944.412;200;0.763;0.768
1558038945.143;200;0.727;0.732
1558038946.012;200;0.864;0.868
1558038946.810;200;0.795;0.800
1558038947.590;200;0.775;0.780
1558038948.301;200;0.708;0.708
1558038949.184;200;0.880;0.884
1558038949.940;200;0.752;0.756
1558038950.699;200;0.757;0.760
1558038951.428;200;0.724;0.728
1558038952.310;200;0.878;0.876
1558038953.079;200;0.766;0.772
1558038953.872;200;0.788;0.792
1558038954.662;200;0.786;0.792
1558038955.531;200;0.866;0.868
1558038956.277;200;0.743;0.744
1558038957.055;200;0.774;0.780
1558038957.791;200;0.733;0.732
1558038958.654;200;0.858;0.864
1558038959.415;200;0.751;0.752
1558038960.191;200;0.772;0.776
1558038960.929;200;0.733;0.736
1558038961.830;200;0.896;0.900
1558038962.647;200;0.812;0.816
1558038963.408;200;0.758;0.760
1558038964.174;200;0.762;0.768
1558038965.039;200;0.863;0.864
1558038965.851;200;0.809;0.812
1558038966.599;200;0.744;0.748
1558038967.366;200;0.763;0.768
1558038968.234;200;0.863;0.868
1558038969.020;200;0.783;0.784
1558038969.771;200;0.748;0.752
1558038970.555;200;0.780;0.784
1558038971.418;200;0.860;0.864
1558038972.196;200;0.776;0.776
1558038972.958;200;0.759;0.764
1558038973.756;200;0.796;0.796
1558038974.632;200;0.872;0.872
1558038975.397;200;0.761;0.764
1558038976.143;200;0.742;0.748
1558038976.961;200;0.792;0.792
1558038977.797;200;0.832;0.836
1558038978.573;200;0.771;0.772
1558038979.336;200;0.760;0.760
1558038980.060;200;0.721;0.724
1558038980.912;200;0.848;0.852
1558038981.668;200;0.752;0.756
1558038982.451;200;0.780;0.784
1558038983.209;200;0.753;0.756
1558038984.062;200;0.850;0.856
1558038984.846;200;0.781;0.784
1558038985.632;200;0.783;0.784
1558038986.355;200;0.719;0.724
1558038987.234;200;0.875;0.880
1558038988.021;200;0.785;0.784
1558038988.824;200;0.797;0.800
1558038989.602;200;0.774;0.780
1558038990.509;200;0.902;0.904
1558038991.330;200;0.811;0.812
1558038992.101;200;0.765;0.768
1558038992.820;200;0.716;0.720
1558038993.671;200;0.847;0.852
1558038994.448;200;0.774;0.776
1558038995.238;200;0.786;0.792
1558038996.018;200;0.777;0.780
1558038996.882;200;0.860;0.864
1558038997.661;200;0.777;0.776
1558038998.451;200;0.787;0.792
1558038999.207;200;0.753;0.756
1558039000.071;200;0.861;0.864
1558039000.861;200;0.786;0.788
1558039001.635;200;0.768;0.772
1558039002.406;200;0.768;0.768
1558039003.335;200;0.926;0.928
1558039004.152;200;0.813;0.816
1558039004.903;200;0.747;0.752
1558039005.630;200;0.723;0.724
1558039006.494;200;0.861;0.868
1558039007.292;200;0.796;0.796
1558039008.068;200;0.772;0.776
1558039008.813;200;0.742;0.744
1558039009.710;200;0.893;0.900
1558039010.469;200;0.756;0.756
1558039011.225;200;0.753;0.756
1558039011.973;200;0.744;0.748
1558039012.841;200;0.864;0.868
1558039013.614;200;0.770;0.772
1558039014.388;200;0.770;0.772
1558039015.148;200;0.756;0.760
1558039016.031;200;0.880;0.884
1558039016.815;200;0.781;0.784
1558039017.620;200;0.796;0.796
1558039018.380;200;0.757;0.760
1558039019.223;200;0.840;0.844
1558039019.986;200;0.760;0.760
1558039020.761;200;0.773;0.772
1558039021.552;200;0.786;0.788
1558039022.442;200;0.887;0.888
1558039023.251;200;0.806;0.812
1558039024.015;200;0.760;0.764
1558039024.785;200;0.767;0.768
1558039025.650;200;0.862;0.868
1558039026.454;200;0.801;0.804
1558039027.244;200;0.788;0.784
1558039028.017;200;0.770;0.772
1558039028.894;200;0.874;0.880
1558039029.664;200;0.766;0.768
1558039030.448;200;0.781;0.784
1558039031.204;200;0.752;0.756
1558039032.116;200;0.907;0.912
1558039032.900;200;0.781;0.784
1558039033.683;200;0.778;0.784
1558039034.503;200;0.816;0.820
1558039035.409;200;0.903;0.904
1558039036.198;200;0.785;0.792
1558039036.959;200;0.758;0.760
1558039037.721;200;0.758;0.760
1558039038.588;200;0.864;0.868
1558039039.372;200;0.781;0.784
1558039040.103;200;0.728;0.728
1558039040.809;200;0.702;0.704
1558039041.669;200;0.856;0.860
1558039042.444;200;0.773;0.772
1558039043.213;200;0.766;0.768
1558039043.939;200;0.722;0.728
1558039044.822;200;0.880;0.884
1558039045.621;200;0.796;0.796
1558039046.404;200;0.780;0.780
1558039047.161;200;0.745;0.748
1558039048.058;200;0.891;0.896
1558039048.871;200;0.810;0.812
1558039049.650;200;0.774;0.780
1558039050.404;200;0.751;0.748
1558039051.283;200;0.875;0.880
1558039052.101;200;0.801;0.804
1558039052.878;200;0.772;0.776
1558039053.610;200;0.729;0.732
1558039054.476;200;0.863;0.864
1558039055.259;200;0.780;0.784
1558039056.013;200;0.750;0.752
1558039056.735;200;0.719;0.724
1558039057.600;200;0.861;0.864
1558039058.359;200;0.756;0.756
1558039059.184;200;0.822;0.824
1558039059.900;200;0.713;0.712
1558039060.782;200;0.879;0.884
1558039061.578;200;0.786;0.788
1558039062.344;200;0.761;0.764
1558039063.072;200;0.725;0.728
1558039063.980;200;0.904;0.904
1558039064.741;200;0.756;0.760
1558039065.499;200;0.754;0.760
1558039066.226;200;0.724;0.728
1558039067.094;200;0.864;0.868
1558039067.883;200;0.786;0.788
1558039068.670;200;0.784;0.784
1558039069.410;200;0.738;0.744
1558039070.279;200;0.868;0.868
1558039071.067;200;0.784;0.788
1558039071.843;200;0.772;0.776
1558039072.543;200;0.696;0.700
1558039073.410;200;0.865;0.864
1558039074.180;200;0.768;0.772
1558039074.924;200;0.741;0.744
1558039075.723;200;0.795;0.800
1558039076.600;200;0.875;0.876
