[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-20 15:24:23:969 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-20 15:24:33:907 10 sec: 12 operations; 1.2 current ops/sec; est completion in 13 minutes [READ: Count=12, Max=842751, Min=727040, Avg=780800, 90=833535, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-20 15:24:43:904 20 sec: 25 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=834047, Min=720896, Avg=760457.85, 90=814591, 99=834047, 99.9=834047, 99.99=834047] 
2019-05-20 15:24:53:904 30 sec: 38 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=843263, Min=712704, Avg=757070.77, 90=823295, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-20 15:25:03:904 40 sec: 51 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=827903, Min=729088, Avg=769319.38, 90=819711, 99=827903, 99.9=827903, 99.99=827903] 
2019-05-20 15:25:13:904 50 sec: 64 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=830975, Min=743936, Avg=779008, 90=830463, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-20 15:25:23:904 60 sec: 77 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=837119, Min=726016, Avg=769476.92, 90=818687, 99=837119, 99.9=837119, 99.99=837119] 
2019-05-20 15:25:33:904 70 sec: 90 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=838143, Min=702464, Avg=754432, 90=835583, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-20 15:25:43:904 80 sec: 103 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=841215, Min=704000, Avg=764672, 90=811007, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-20 15:25:53:904 90 sec: 116 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=839167, Min=708608, Avg=766404.92, 90=807935, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-20 15:26:03:904 100 sec: 129 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=846335, Min=717824, Avg=769398.15, 90=842751, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-20 15:26:13:904 110 sec: 142 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=841215, Min=726528, Avg=774084.92, 90=808959, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-20 15:26:23:904 120 sec: 155 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=849407, Min=713216, Avg=768098.46, 90=814591, 99=849407, 99.9=849407, 99.99=849407] 
2019-05-20 15:26:33:904 130 sec: 168 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=875519, Min=726528, Avg=784521.85, 90=837119, 99=875519, 99.9=875519, 99.99=875519] 
2019-05-20 15:26:43:904 140 sec: 181 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=881151, Min=739328, Avg=781213.54, 90=849919, 99=881151, 99.9=881151, 99.99=881151] 
2019-05-20 15:26:53:903 150 sec: 194 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=852479, Min=730112, Avg=771603.69, 90=842751, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-20 15:27:03:904 160 sec: 207 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=860159, Min=721920, Avg=773415.38, 90=838655, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-20 15:27:13:904 170 sec: 219 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=870399, Min=697344, Avg=778197.33, 90=859647, 99=870399, 99.9=870399, 99.99=870399] 
2019-05-20 15:27:23:904 180 sec: 232 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=847871, Min=715776, Avg=779323.08, 90=843263, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-20 15:27:33:904 190 sec: 245 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=852479, Min=726016, Avg=780307.69, 90=843775, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-20 15:27:43:904 200 sec: 258 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=817663, Min=720896, Avg=766877.54, 90=813055, 99=817663, 99.9=817663, 99.99=817663] 
2019-05-20 15:27:53:904 210 sec: 271 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=843775, Min=709120, Avg=753526.15, 90=824319, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-20 15:28:03:904 220 sec: 284 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=880127, Min=700416, Avg=778102.15, 90=849407, 99=880127, 99.9=880127, 99.99=880127] 
2019-05-20 15:28:13:904 230 sec: 297 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=820735, Min=716288, Avg=766562.46, 90=808447, 99=820735, 99.9=820735, 99.99=820735] 
2019-05-20 15:28:23:904 240 sec: 310 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=833535, Min=722944, Avg=765735.38, 90=830463, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-20 15:28:33:904 250 sec: 323 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=932351, Min=719872, Avg=782788.92, 90=844799, 99=932351, 99.9=932351, 99.99=932351] 
