[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-20 19:31:24:217 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-20 19:31:34:165 10 sec: 11 operations; 1.1 current ops/sec; est completion in 30 minutes [READ: Count=11, Max=909823, Min=723456, Avg=796090.18, 90=851967, 99=909823, 99.9=909823, 99.99=909823] 
2019-05-20 19:31:44:160 20 sec: 24 operations; 1.3 current ops/sec; est completion in 27 minutes [READ: Count=13, Max=874495, Min=729088, Avg=777747.69, 90=856063, 99=874495, 99.9=874495, 99.99=874495] 
2019-05-20 19:31:54:160 30 sec: 37 operations; 1.3 current ops/sec; est completion in 26 minutes [READ: Count=13, Max=847359, Min=716800, Avg=769004.31, 90=842239, 99=847359, 99.9=847359, 99.99=847359] 
2019-05-20 19:32:04:161 40 sec: 50 operations; 1.3 current ops/sec; est completion in 26 minutes [READ: Count=13, Max=870911, Min=698368, Avg=768177.23, 90=836607, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-20 19:32:14:160 50 sec: 63 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=838143, Min=722432, Avg=778811.08, 90=834559, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-20 19:32:24:160 60 sec: 76 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=883711, Min=720384, Avg=782749.54, 90=879103, 99=883711, 99.9=883711, 99.99=883711] 
2019-05-20 19:32:34:161 70 sec: 89 operations; 1.3 current ops/sec; est completion in 25 minutes [READ: Count=13, Max=851967, Min=707072, Avg=763136, 90=844287, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-20 19:32:44:161 80 sec: 102 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=864255, Min=707584, Avg=778180.92, 90=838143, 99=864255, 99.9=864255, 99.99=864255] 
2019-05-20 19:32:54:160 90 sec: 115 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=867839, Min=727040, Avg=773100.31, 90=846847, 99=867839, 99.9=867839, 99.99=867839] 
2019-05-20 19:33:04:160 100 sec: 128 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=883199, Min=673280, Avg=767192.62, 90=856063, 99=883199, 99.9=883199, 99.99=883199] 
2019-05-20 19:33:14:160 110 sec: 141 operations; 1.3 current ops/sec; est completion in 24 minutes [READ: Count=13, Max=858623, Min=718336, Avg=769319.38, 90=831999, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-20 19:33:24:160 120 sec: 154 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=868351, Min=691712, Avg=765971.69, 90=847359, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-20 19:33:34:163 130 sec: 167 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=835583, Min=700416, Avg=770304, 90=827903, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-20 19:33:44:160 140 sec: 180 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=836607, Min=718336, Avg=772942.77, 90=830975, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-20 19:33:54:162 150 sec: 193 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=868351, Min=707072, Avg=763057.23, 90=817151, 99=868351, 99.9=868351, 99.99=868351] 
2019-05-20 19:34:04:161 160 sec: 206 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=848383, Min=716288, Avg=763963.08, 90=834047, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-20 19:34:14:160 170 sec: 219 operations; 1.3 current ops/sec; est completion in 23 minutes [READ: Count=13, Max=837631, Min=710656, Avg=759473.23, 90=828927, 99=837631, 99.9=837631, 99.99=837631] 
2019-05-20 19:34:24:161 180 sec: 232 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=833535, Min=723968, Avg=772588.31, 90=831999, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-20 19:34:34:160 190 sec: 245 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=845311, Min=715776, Avg=771800.62, 90=829439, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-20 19:34:44:160 200 sec: 258 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=849919, Min=713216, Avg=765538.46, 90=842751, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-20 19:34:54:161 210 sec: 271 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=843775, Min=716800, Avg=764317.54, 90=835583, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-20 19:35:04:161 220 sec: 284 operations; 1.3 current ops/sec; est completion in 22 minutes [READ: Count=13, Max=843775, Min=716800, Avg=778102.15, 90=827903, 99=843775, 99.9=843775, 99.99=843775] 
2019-05-20 19:35:14:160 230 sec: 297 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=856063, Min=722944, Avg=768846.77, 90=830463, 99=856063, 99.9=856063, 99.99=856063] 
2019-05-20 19:35:24:160 240 sec: 310 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=840191, Min=712704, Avg=775030.15, 90=834047, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-20 19:35:34:160 250 sec: 323 operations; 1.3 current ops/sec; est completion in 21 minutes [READ: Count=13, Max=869887, Min=731648, Avg=773651.69, 90=842239, 99=869887, 99.9=869887, 99.99=869887] 
