timestamp;status;request_time;upstream_response_time
1558391194.542;200;0.768;0.768
1558391195.319;200;0.726;0.728
1558391196.099;200;0.772;0.772
1558391196.960;200;0.855;0.856
1558391197.714;200;0.751;0.752
1558391198.470;200;0.753;0.756
1558391199.243;200;0.746;0.748
1558391200.082;200;0.836;0.836
1558391200.815;200;0.729;0.728
1558391201.566;200;0.747;0.748
1558391202.319;200;0.750;0.748
1558391203.134;200;0.810;0.812
1558391203.887;200;0.748;0.748
1558391204.609;200;0.715;0.716
1558391205.387;200;0.774;0.772
1558391206.203;200;0.810;0.808
1558391206.933;200;0.725;0.728
1558391207.690;200;0.754;0.756
1558391208.464;200;0.772;0.776
1558391209.290;200;0.820;0.820
1558391210.063;200;0.768;0.768
1558391210.792;200;0.726;0.728
1558391211.555;200;0.760;0.760
1558391212.377;200;0.815;0.812
1558391213.131;200;0.751;0.752
1558391213.860;200;0.725;0.728
1558391214.652;200;0.785;0.788
1558391215.487;200;0.832;0.832
1558391216.212;200;0.721;0.724
1558391216.935;200;0.718;0.720
1558391217.710;200;0.770;0.772
1558391218.560;200;0.846;0.844
1558391219.286;200;0.720;0.720
1558391220.014;200;0.723;0.724
1558391220.843;200;0.824;0.824
1558391221.690;200;0.840;0.840
1558391222.456;200;0.761;0.764
1558391223.211;200;0.749;0.748
1558391223.981;200;0.766;0.768
1558391224.814;200;0.827;0.828
1558391225.576;200;0.758;0.760
1558391226.313;200;0.734;0.736
1558391227.102;200;0.786;0.788
1558391227.962;200;0.856;0.856
1558391228.690;200;0.725;0.724
1558391229.435;200;0.741;0.740
1558391230.187;200;0.750;0.748
1558391231.026;200;0.836;0.836
1558391231.756;200;0.727;0.728
1558391232.502;200;0.743;0.744
1558391233.272;200;0.766;0.764
1558391234.079;200;0.804;0.804
1558391234.815;200;0.731;0.732
1558391235.535;200;0.716;0.716
1558391236.315;200;0.775;0.776
1558391237.129;200;0.810;0.812
1558391237.865;200;0.733;0.736
1558391238.566;200;0.697;0.700
1558391239.340;200;0.771;0.772
1558391240.176;200;0.833;0.832
1558391240.930;200;0.751;0.752
1558391241.651;200;0.718;0.716
1558391242.404;200;0.749;0.748
1558391243.194;200;0.786;0.788
1558391243.958;200;0.761;0.764
1558391244.707;200;0.745;0.744
1558391245.444;200;0.734;0.732
1558391246.317;200;0.869;0.872
1558391247.063;200;0.743;0.744
1558391247.785;200;0.716;0.720
1558391248.601;200;0.812;0.808
1558391249.402;200;0.799;0.800
1558391250.147;200;0.741;0.740
1558391250.907;200;0.757;0.756
1558391251.647;200;0.736;0.736
1558391252.475;200;0.824;0.824
1558391253.213;200;0.733;0.736
1558391253.911;200;0.694;0.692
1558391254.679;200;0.763;0.764
1558391255.491;200;0.808;0.808
1558391256.217;200;0.722;0.724
1558391256.924;200;0.704;0.708
1558391257.685;200;0.757;0.760
1558391258.496;200;0.807;0.812
1558391259.224;200;0.721;0.720
1558391259.967;200;0.729;0.728
1558391260.736;200;0.761;0.764
1558391261.567;200;0.826;0.824
1558391262.315;200;0.746;0.744
1558391263.050;200;0.731;0.732
1558391263.901;200;0.848;0.848
1558391264.698;200;0.791;0.792
1558391265.429;200;0.728;0.728
1558391266.139;200;0.707;0.708
1558391266.927;200;0.785;0.784
1558391267.763;200;0.832;0.832
1558391268.531;200;0.764;0.764
1558391269.275;200;0.740;0.740
1558391270.018;200;0.739;0.740
1558391270.820;200;0.797;0.800
1558391271.603;200;0.776;0.776
1558391272.359;200;0.753;0.752
1558391273.114;200;0.752;0.752
1558391273.924;200;0.808;0.812
1558391274.716;200;0.787;0.788
1558391275.464;200;0.745;0.744
1558391276.299;200;0.828;0.828
1558391277.108;200;0.805;0.808
1558391277.840;200;0.729;0.732
1558391278.583;200;0.739;0.740
1558391279.317;200;0.731;0.732
1558391280.122;200;0.802;0.804
1558391280.847;200;0.722;0.720
1558391281.561;200;0.711;0.712
1558391282.344;200;0.780;0.780
1558391283.178;200;0.832;0.832
1558391283.899;200;0.718;0.716
1558391284.624;200;0.717;0.716
1558391285.471;200;0.813;0.812
1558391286.271;200;0.797;0.796
1558391286.991;200;0.717;0.716
1558391287.713;200;0.719;0.720
1558391288.465;200;0.749;0.752
1558391289.273;200;0.805;0.808
1558391290.045;200;0.770;0.772
1558391290.776;200;0.727;0.728
1558391291.557;200;0.778;0.780
1558391292.379;200;0.815;0.816
1558391293.108;200;0.725;0.728
1558391293.831;200;0.717;0.716
1558391294.581;200;0.744;0.744
1558391295.419;200;0.835;0.836
1558391296.184;200;0.762;0.764
1558391296.909;200;0.719;0.720
1558391297.665;200;0.752;0.756
1558391298.471;200;0.803;0.804
1558391299.197;200;0.723;0.724
1558391299.895;200;0.696;0.696
1558391300.618;200;0.719;0.720
1558391301.429;200;0.807;0.808
1558391302.190;200;0.758;0.760
1558391302.913;200;0.719;0.720
1558391303.695;200;0.780;0.780
1558391304.518;200;0.818;0.820
1558391305.255;200;0.735;0.736
1558391305.998;200;0.741;0.740
1558391306.786;200;0.786;0.788
1558391307.636;200;0.845;0.844
1558391308.374;200;0.735;0.736
1558391309.096;200;0.719;0.724
1558391309.816;200;0.715;0.716
1558391310.621;200;0.802;0.804
1558391311.347;200;0.723;0.724
1558391312.047;200;0.697;0.696
1558391312.823;200;0.772;0.772
1558391313.648;200;0.820;0.824
1558391314.376;200;0.724;0.724
1558391315.112;200;0.733;0.736
1558391315.859;200;0.743;0.744
1558391316.666;200;0.803;0.804
1558391317.401;200;0.731;0.732
1558391318.110;200;0.705;0.704
1558391318.879;200;0.765;0.764
1558391319.693;200;0.810;0.812
1558391320.448;200;0.752;0.752
1558391321.173;200;0.723;0.724
1558391321.919;200;0.742;0.740
1558391322.770;200;0.846;0.848
1558391323.503;200;0.729;0.728
1558391324.227;200;0.719;0.720
1558391324.973;200;0.743;0.744
1558391325.782;200;0.806;0.808
1558391326.519;200;0.734;0.732
1558391327.232;200;0.709;0.708
1558391327.995;200;0.761;0.760
1558391328.788;200;0.790;0.792
1558391329.522;200;0.731;0.732
1558391330.260;200;0.735;0.732
1558391330.983;200;0.721;0.720
1558391331.777;200;0.792;0.792
1558391332.573;200;0.794;0.796
1558391333.330;200;0.754;0.756
1558391334.085;200;0.751;0.752
1558391334.897;200;0.809;0.812
1558391335.632;200;0.733;0.732
1558391336.370;200;0.736;0.736
1558391337.166;200;0.793;0.792
1558391337.958;200;0.789;0.792
1558391338.703;200;0.741;0.740
1558391339.448;200;0.741;0.744
1558391340.214;200;0.763;0.764
1558391341.051;200;0.834;0.832
1558391341.784;200;0.730;0.728
1558391342.511;200;0.724;0.724
1558391343.311;200;0.795;0.796
1558391344.046;200;0.732;0.732
1558391344.808;200;0.756;0.760
1558391345.526;200;0.715;0.716
1558391346.318;200;0.789;0.792
1558391347.109;200;0.789;0.792
1558391347.852;200;0.738;0.736
1558391348.550;200;0.694;0.696
1558391349.344;200;0.791;0.796
1558391350.144;200;0.797;0.796
1558391350.886;200;0.740;0.740
1558391351.615;200;0.726;0.724
1558391352.382;200;0.764;0.764
1558391353.195;200;0.810;0.808
1558391353.939;200;0.741;0.740
1558391354.660;200;0.716;0.716
1558391355.437;200;0.775;0.776
1558391356.250;200;0.810;0.812
1558391357.010;200;0.755;0.756
1558391357.762;200;0.748;0.748
1558391358.551;200;0.787;0.788
1558391359.344;200;0.791;0.792
1558391360.090;200;0.743;0.744
1558391360.801;200;0.707;0.708
1558391361.514;200;0.710;0.712
1558391362.305;200;0.787;0.788
1558391363.040;200;0.731;0.732
1558391363.755;200;0.712;0.712
1558391364.521;200;0.762;0.764
1558391365.266;200;0.742;0.744
1558391366.000;200;0.729;0.732
1558391366.715;200;0.709;0.708
1558391367.467;200;0.749;0.748
1558391368.341;200;0.870;0.872
1558391369.062;200;0.719;0.720
1558391369.785;200;0.719;0.716
1558391370.543;200;0.756;0.756
1558391371.345;200;0.798;0.800
1558391372.070;200;0.722;0.724
1558391372.826;200;0.753;0.752
1558391373.580;200;0.752;0.752
1558391374.392;200;0.808;0.808
1558391375.137;200;0.742;0.744
1558391375.856;200;0.715;0.716
1558391376.602;200;0.743;0.744
1558391377.382;200;0.777;0.776
1558391378.119;200;0.733;0.732
1558391378.834;200;0.712;0.712
1558391379.613;200;0.777;0.780
1558391380.415;200;0.800;0.800
1558391381.148;200;0.730;0.732
1558391381.849;200;0.698;0.700
1558391382.612;200;0.760;0.760
1558391383.424;200;0.808;0.808
1558391384.183;200;0.756;0.756
1558391384.883;200;0.697;0.696
1558391385.626;200;0.740;0.740
1558391386.470;200;0.842;0.844
1558391387.201;200;0.728;0.732
1558391387.929;200;0.726;0.728
1558391388.702;200;0.770;0.772
1558391389.511;200;0.804;0.804
1558391390.240;200;0.725;0.724
1558391390.974;200;0.729;0.732
1558391391.781;200;0.805;0.804
1558391392.650;200;0.867;0.868
1558391393.431;200;0.778;0.776
1558391394.197;200;0.762;0.764
1558391394.961;200;0.762;0.760
1558391395.784;200;0.821;0.820
1558391396.529;200;0.742;0.744
1558391397.231;200;0.698;0.696
1558391398.007;200;0.772;0.772
1558391398.822;200;0.812;0.812
1558391399.563;200;0.739;0.740
1558391400.296;200;0.730;0.728
1558391401.046;200;0.747;0.748
1558391401.904;200;0.856;0.856
1558391402.639;200;0.733;0.732
1558391403.401;200;0.758;0.756
1558391404.196;200;0.791;0.792
1558391405.010;200;0.811;0.812
1558391405.751;200;0.738;0.740
1558391406.471;200;0.715;0.716
1558391407.227;200;0.753;0.752
1558391408.029;200;0.797;0.800
1558391408.754;200;0.722;0.724
1558391409.523;200;0.767;0.768
1558391410.211;200;0.684;0.684
1558391411.008;200;0.794;0.792
1558391411.737;200;0.726;0.728
1558391412.463;200;0.723;0.724
1558391413.238;200;0.772;0.772
1558391414.038;200;0.797;0.796
1558391414.767;200;0.725;0.724
1558391415.482;200;0.713;0.716
1558391416.259;200;0.775;0.776
1558391417.060;200;0.798;0.796
1558391417.811;200;0.748;0.748
1558391418.542;200;0.728;0.728
1558391419.346;200;0.800;0.800
1558391420.125;200;0.777;0.780
1558391420.843;200;0.715;0.716
1558391421.558;200;0.712;0.712
1558391422.310;200;0.750;0.752
1558391423.101;200;0.767;0.768
1558391423.821;200;0.714;0.716
1558391424.575;200;0.751;0.752
1558391425.334;200;0.757;0.760
1558391426.125;200;0.788;0.792
1558391426.854;200;0.726;0.728
1558391427.565;200;0.708;0.712
1558391428.337;200;0.770;0.768
1558391429.159;200;0.820;0.820
1558391429.899;200;0.738;0.736
1558391430.615;200;0.714;0.712
1558391431.340;200;0.718;0.716
1558391432.180;200;0.837;0.836
1558391432.915;200;0.732;0.732
1558391433.645;200;0.727;0.728
1558391434.375;200;0.727;0.728
1558391435.192;200;0.814;0.812
1558391435.942;200;0.747;0.748
1558391436.690;200;0.745;0.744
1558391437.482;200;0.790;0.792
1558391438.293;200;0.808;0.808
1558391439.018;200;0.723;0.724
1558391439.747;200;0.727;0.728
1558391440.497;200;0.748;0.748
1558391441.296;200;0.796;0.796
1558391442.065;200;0.767;0.768
1558391442.773;200;0.706;0.708
1558391443.537;200;0.761;0.764
1558391444.347;200;0.807;0.808
1558391445.090;200;0.740;0.740
1558391445.839;200;0.747;0.748
1558391446.620;200;0.778;0.776
1558391447.374;200;0.752;0.752
1558391448.141;200;0.764;0.769
1558391448.876;200;0.733;0.732
1558391449.656;200;0.777;0.780
1558391450.453;200;0.794;0.796
1558391451.195;200;0.737;0.736
1558391451.963;200;0.766;0.764
1558391452.724;200;0.758;0.756
1558391453.510;200;0.782;0.784
1558391454.237;200;0.720;0.720
1558391454.963;200;0.721;0.720
1558391455.711;200;0.744;0.744
1558391456.499;200;0.785;0.784
1558391457.244;200;0.741;0.740
1558391457.959;200;0.712;0.712
1558391458.704;200;0.742;0.740
1558391459.508;200;0.802;0.800
1558391460.276;200;0.765;0.764
1558391461.002;200;0.723;0.724
1558391461.790;200;0.785;0.788
1558391462.575;200;0.783;0.784
1558391463.297;200;0.719;0.720
1558391463.993;200;0.694;0.692
1558391464.759;200;0.763;0.764
1558391465.570;200;0.808;0.808
1558391466.295;200;0.722;0.724
1558391467.010;200;0.712;0.712
1558391467.723;200;0.708;0.708
1558391468.505;200;0.779;0.780
1558391469.238;200;0.731;0.732
