[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-16 21:18:07:561 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-16 21:18:17:487 10 sec: 11 operations; 1.1 current ops/sec; est completion in 15 minutes [READ: Count=11, Max=895487, Min=730624, Avg=792971.64, 90=851455, 99=895487, 99.9=895487, 99.99=895487] 
2019-05-16 21:18:27:484 20 sec: 24 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=895487, Min=722432, Avg=793186.46, 90=836095, 99=895487, 99.9=895487, 99.99=895487] 
2019-05-16 21:18:37:485 30 sec: 37 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=882687, Min=709120, Avg=781213.54, 90=880639, 99=882687, 99.9=882687, 99.99=882687] 
2019-05-16 21:18:47:484 40 sec: 50 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=897023, Min=687616, Avg=781568, 90=858623, 99=897023, 99.9=897023, 99.99=897023] 
2019-05-16 21:18:57:484 50 sec: 63 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=856575, Min=704000, Avg=770737.23, 90=824319, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-16 21:19:07:484 60 sec: 76 operations; 1.3 current ops/sec; est completion in 12 minutes [READ: Count=13, Max=881151, Min=697344, Avg=782828.31, 90=846847, 99=881151, 99.9=881151, 99.99=881151] 
2019-05-16 21:19:17:484 70 sec: 88 operations; 1.2 current ops/sec; est completion in 12 minutes [READ: Count=12, Max=893439, Min=723968, Avg=782634.67, 90=829439, 99=893439, 99.9=893439, 99.99=893439] 
2019-05-16 21:19:27:484 80 sec: 101 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=835583, Min=644608, Avg=767153.23, 90=834047, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-16 21:19:37:485 90 sec: 114 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=872959, Min=711680, Avg=786215.38, 90=858111, 99=872959, 99.9=872959, 99.99=872959] 
2019-05-16 21:19:47:485 100 sec: 127 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=901119, Min=707584, Avg=789484.31, 90=858111, 99=901119, 99.9=901119, 99.99=901119] 
2019-05-16 21:19:57:484 110 sec: 139 operations; 1.2 current ops/sec; est completion in 11 minutes [READ: Count=12, Max=851967, Min=704512, Avg=769109.33, 90=845311, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-16 21:20:07:484 120 sec: 152 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=908287, Min=678912, Avg=780662.15, 90=852479, 99=908287, 99.9=908287, 99.99=908287] 
2019-05-16 21:20:17:484 130 sec: 165 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=840191, Min=673792, Avg=772155.08, 90=834559, 99=840191, 99.9=840191, 99.99=840191] 
2019-05-16 21:20:27:484 140 sec: 178 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=842239, Min=687104, Avg=778299.08, 90=833023, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-16 21:20:37:484 150 sec: 191 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=857087, Min=711168, Avg=778417.23, 90=836607, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-16 21:20:47:484 160 sec: 204 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=876543, Min=719872, Avg=796416, 90=873471, 99=876543, 99.9=876543, 99.99=876543] 
2019-05-16 21:20:57:484 170 sec: 216 operations; 1.2 current ops/sec; est completion in 10 minutes [READ: Count=12, Max=833535, Min=715776, Avg=778496, 90=833535, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-16 21:21:07:484 180 sec: 229 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=935423, Min=704512, Avg=781331.69, 90=845311, 99=935423, 99.9=935423, 99.99=935423] 
2019-05-16 21:21:17:484 190 sec: 242 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=864767, Min=724992, Avg=779598.77, 90=841215, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-16 21:21:27:484 200 sec: 255 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=846847, Min=711680, Avg=777196.31, 90=845311, 99=846847, 99.9=846847, 99.99=846847] 
2019-05-16 21:21:37:484 210 sec: 268 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=860671, Min=708096, Avg=775778.46, 90=846847, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-16 21:21:47:484 220 sec: 281 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=878079, Min=716800, Avg=777393.23, 90=843263, 99=878079, 99.9=878079, 99.99=878079] 
2019-05-16 21:21:57:484 230 sec: 294 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=857087, Min=716288, Avg=779874.46, 90=826367, 99=857087, 99.9=857087, 99.99=857087] 
2019-05-16 21:22:07:484 240 sec: 306 operations; 1.2 current ops/sec; est completion in 9 minutes [READ: Count=12, Max=856575, Min=714240, Avg=786346.67, 90=852479, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-16 21:22:17:484 250 sec: 319 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=865279, Min=686080, Avg=787712, 90=843775, 99=865279, 99.9=865279, 99.99=865279] 
