timestamp;status;request_time;upstream_response_time
1558498214.137;200;0.748;0.000, 0.000, 0.748
1558498215.003;200;0.821;0.820
1558498215.746;200;0.739;0.740
1558498216.574;200;0.824;0.000, 0.824
1558498217.280;200;0.702;0.000, 0.700
1558498218.147;200;0.844;0.844
1558498218.912;200;0.761;0.000, 0.764
1558498219.769;200;0.852;0.000, 0.852
1558498220.514;200;0.741;0.744
1558498221.364;200;0.846;0.000, 0.844
1558498222.179;200;0.812;0.000, 0.812
1558498223.031;200;0.846;0.848
1558498223.809;200;0.772;0.004, 0.772
1558498224.647;200;0.833;0.000, 0.832
1558498225.403;200;0.753;0.752
1558498226.246;200;0.837;0.004, 0.836
1558498227.005;200;0.755;0.000, 0.756
1558498227.825;200;0.817;0.820
1558498228.604;200;0.776;0.004, 0.772
1558498229.487;200;0.879;0.004, 0.876
1558498230.244;200;0.753;0.756
1558498231.110;200;0.862;0.004, 0.860
1558498231.850;200;0.735;0.000, 0.736
1558498232.680;200;0.825;0.824
1558498233.436;200;0.753;0.000, 0.752
1558498234.266;200;0.825;0.000, 0.824
1558498235.044;200;0.774;0.776
1558498235.900;200;0.850;0.000, 0.848
1558498236.671;200;0.767;0.004, 0.764
1558498237.478;200;0.804;0.804
1558498238.235;200;0.753;0.000, 0.752
1558498239.044;200;0.803;0.000, 0.804
1558498239.798;200;0.743;0.744
1558498240.630;200;0.827;0.000, 0.828
1558498241.430;200;0.797;0.004, 0.796
1558498242.285;200;0.850;0.848
1558498243.026;200;0.736;0.000, 0.736
1558498243.866;200;0.834;0.000, 0.836
1558498244.616;200;0.746;0.744
1558498245.413;200;0.792;0.004, 0.788
1558498246.152;200;0.735;0.004, 0.736
1558498246.986;200;0.830;0.832
1558498247.729;200;0.740;0.004, 0.740
1558498248.584;200;0.851;0.004, 0.848
1558498249.375;200;0.788;0.788
1558498250.178;200;0.800;0.000, 0.800
1558498251.004;200;0.823;0.000, 0.820
1558498251.819;200;0.812;0.812
1558498252.624;200;0.802;0.000, 0.804
1558498253.454;200;0.827;0.000, 0.828
1558498254.168;200;0.710;0.708
1558498255.008;200;0.838;0.000, 0.836
1558498255.742;200;0.731;0.004, 0.728
1558498256.581;200;0.837;0.840
1558498257.323;200;0.738;0.004, 0.736
1558498258.139;200;0.813;0.000, 0.812
1558498258.866;200;0.724;0.724
1558498259.697;200;0.828;0.004, 0.828
1558498260.462;200;0.763;0.000, 0.764
1558498261.369;200;0.903;0.904
1558498262.135;200;0.760;0.000, 0.760
1558498262.978;200;0.840;0.000, 0.840
1558498263.763;200;0.778;0.776
1558498264.599;200;0.825;0.000, 0.824
1558498265.395;200;0.788;0.000, 0.788
1558498266.225;200;0.823;0.824
