timestamp;status;request_time;upstream_response_time
1558499465.341;200;0.762;0.764
1558499466.120;200;0.729;0.732
1558499466.826;200;0.702;0.704
1558499467.645;200;0.816;0.812
1558499468.417;200;0.768;0.768
1558499469.140;200;0.700;0.704
1558499469.886;200;0.742;0.744
1558499470.725;200;0.835;0.836
1558499471.483;200;0.754;0.756
1558499472.231;200;0.745;0.748
1558499472.992;200;0.758;0.760
1558499473.806;200;0.810;0.812
1558499474.567;200;0.757;0.760
1558499475.296;200;0.723;0.728
1558499476.049;200;0.748;0.748
1558499476.876;200;0.821;0.824
1558499477.640;200;0.760;0.760
1558499478.373;200;0.726;0.728
1558499479.165;200;0.781;0.784
1558499480.016;200;0.842;0.844
1558499480.744;200;0.724;0.728
1558499481.484;200;0.737;0.740
1558499482.296;200;0.807;0.812
1558499483.128;200;0.828;0.828
1558499483.889;200;0.757;0.760
1558499484.645;200;0.753;0.756
1558499485.395;200;0.744;0.748
1558499486.224;200;0.824;0.828
1558499486.976;200;0.750;0.748
1558499487.704;200;0.722;0.724
1558499488.444;200;0.736;0.740
1558499489.265;200;0.817;0.820
1558499490.064;200;0.792;0.792
1558499490.793;200;0.726;0.728
1558499491.597;200;0.799;0.800
1558499492.437;200;0.836;0.840
1558499493.167;200;0.727;0.728
1558499493.897;200;0.726;0.728
1558499494.657;200;0.756;0.760
1558499495.460;200;0.798;0.796
1558499496.191;200;0.727;0.728
1558499496.916;200;0.721;0.724
1558499497.637;200;0.719;0.720
1558499498.459;200;0.818;0.820
1558499499.203;200;0.742;0.740
1558499499.912;200;0.705;0.708
1558499500.709;200;0.793;0.796
1558499501.525;200;0.812;0.816
1558499502.255;200;0.726;0.728
1558499502.997;200;0.738;0.740
1558499503.745;200;0.744;0.748
1558499504.554;200;0.805;0.804
1558499505.297;200;0.738;0.740
1558499506.043;200;0.743;0.748
1558499506.745;200;0.697;0.700
1558499507.563;200;0.813;0.816
1558499508.291;200;0.726;0.724
1558499509.024;200;0.729;0.732
1558499509.811;200;0.783;0.784
1558499510.628;200;0.813;0.812
1558499511.357;200;0.720;0.724
1558499512.096;200;0.735;0.740
1558499512.844;200;0.742;0.744
1558499513.672;200;0.824;0.828
1558499514.438;200;0.763;0.764
1558499515.174;200;0.732;0.732
1558499515.913;200;0.736;0.740
1558499516.728;200;0.811;0.816
1558499517.464;200;0.733;0.736
1558499518.205;200;0.737;0.740
1558499518.949;200;0.740;0.740
1558499519.785;200;0.830;0.832
1558499520.548;200;0.760;0.764
1558499521.307;200;0.754;0.760
1558499522.111;200;0.800;0.804
1558499522.968;200;0.853;0.856
1558499523.699;200;0.728;0.728
1558499524.453;200;0.751;0.748
1558499525.164;200;0.705;0.708
1558499525.953;200;0.786;0.788
1558499526.675;200;0.719;0.724
1558499527.356;200;0.677;0.680
1558499528.093;200;0.733;0.736
1558499528.903;200;0.804;0.808
1558499529.665;200;0.757;0.760
1558499530.393;200;0.723;0.724
1558499531.141;200;0.744;0.744
1558499531.957;200;0.812;0.816
1558499532.727;200;0.748;0.752
1558499533.468;200;0.738;0.740
1558499534.229;200;0.758;0.760
1558499535.060;200;0.827;0.832
1558499535.803;200;0.740;0.740
1558499536.525;200;0.719;0.720
1558499537.189;200;0.660;0.664
1558499537.997;200;0.802;0.804
1558499538.748;200;0.748;0.752
1558499539.470;200;0.718;0.720
1558499540.247;200;0.774;0.776
1558499541.083;200;0.834;0.832
1558499541.833;200;0.742;0.744
1558499542.541;200;0.705;0.708
1558499543.343;200;0.798;0.800
1558499544.159;200;0.814;0.816
1558499544.933;200;0.770;0.768
1558499545.653;200;0.717;0.720
1558499546.406;200;0.750;0.752
1558499547.210;200;0.801;0.804
1558499547.971;200;0.758;0.764
1558499548.707;200;0.733;0.732
1558499549.474;200;0.764;0.764
1558499550.277;200;0.797;0.800
1558499551.045;200;0.765;0.768
1558499551.756;200;0.708;0.712
1558499552.565;200;0.805;0.808
1558499553.387;200;0.819;0.820
1558499554.143;200;0.754;0.756
1558499554.865;200;0.720;0.720
1558499555.631;200;0.762;0.760
