timestamp;status;request_time;upstream_response_time
1558500684.146;200;0.750;0.752
1558500684.924;200;0.730;0.732
1558500685.674;200;0.744;0.744
1558500686.514;200;0.836;0.836
1558500687.265;200;0.748;0.752
1558500688.022;200;0.751;0.752
1558500688.735;200;0.688;0.692
1558500689.566;200;0.827;0.832
1558500690.303;200;0.734;0.736
1558500691.023;200;0.717;0.720
1558500691.786;200;0.759;0.764
1558500692.620;200;0.827;0.824
1558500693.372;200;0.748;0.752
1558500694.095;200;0.718;0.720
1558500694.904;200;0.805;0.808
1558500695.722;200;0.813;0.820
1558500696.481;200;0.756;0.756
1558500697.220;200;0.736;0.740
1558500697.982;200;0.758;0.760
1558500698.782;200;0.797;0.800
1558500699.510;200;0.725;0.732
1558500700.279;200;0.766;0.768
1558500701.039;200;0.756;0.760
1558500701.872;200;0.828;0.832
1558500702.615;200;0.736;0.736
1558500703.319;200;0.700;0.704
1558500704.088;200;0.758;0.760
1558500704.930;200;0.838;0.844
1558500705.675;200;0.740;0.740
1558500706.406;200;0.727;0.732
1558500707.212;200;0.792;0.788
1558500708.038;200;0.822;0.828
1558500708.794;200;0.752;0.752
1558500709.500;200;0.704;0.708
1558500710.261;200;0.756;0.760
1558500711.094;200;0.829;0.836
1558500711.871;200;0.772;0.772
1558500712.584;200;0.709;0.712
1558500713.393;200;0.797;0.800
1558500714.195;200;0.798;0.804
1558500714.934;200;0.736;0.740
1558500715.660;200;0.721;0.720
1558500716.425;200;0.759;0.760
1558500717.238;200;0.810;0.816
1558500717.948;200;0.707;0.708
1558500718.687;200;0.736;0.740
1558500719.394;200;0.704;0.708
1558500720.216;200;0.819;0.820
1558500720.945;200;0.725;0.728
1558500721.670;200;0.723;0.728
1558500722.438;200;0.763;0.768
1558500723.299;200;0.858;0.860
1558500724.026;200;0.723;0.724
1558500724.743;200;0.715;0.720
1558500725.499;200;0.753;0.756
1558500726.350;200;0.847;0.852
1558500727.084;200;0.730;0.732
1558500727.791;200;0.702;0.704
1558500728.544;200;0.750;0.752
1558500729.353;200;0.805;0.808
1558500730.082;200;0.726;0.728
1558500730.813;200;0.727;0.728
1558500731.568;200;0.752;0.756
1558500732.392;200;0.819;0.820
1558500733.174;200;0.779;0.780
1558500733.900;200;0.720;0.724
1558500734.665;200;0.761;0.760
1558500735.506;200;0.836;0.836
1558500736.256;200;0.748;0.752
1558500736.973;200;0.713;0.716
1558500737.734;200;0.758;0.760
1558500738.576;200;0.834;0.836
1558500739.319;200;0.740;0.744
1558500740.052;200;0.730;0.732
1558500740.755;200;0.699;0.704
1558500741.584;200;0.826;0.828
1558500742.346;200;0.759;0.760
1558500743.081;200;0.733;0.736
1558500743.840;200;0.749;0.752
1558500744.672;200;0.829;0.832
1558500745.407;200;0.732;0.736
1558500746.186;200;0.776;0.780
1558500746.940;200;0.751;0.752
1558500747.746;200;0.800;0.804
1558500748.487;200;0.739;0.740
1558500749.236;200;0.744;0.748
