[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl com.yahoo.ycsb:rest-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by com.google.inject.internal.cglib.core.$ReflectUtils$1 (file:/usr/share/maven/lib/guice.jar) to method java.lang.ClassLoader.defineClass(java.lang.String,byte[],int,int,java.security.ProtectionDomain)
WARNING: Please consider reporting this to the maintainers of com.google.inject.internal.cglib.core.$ReflectUtils$1
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
java -cp /home/ubuntu/YCSB/rest/conf:/home/ubuntu/YCSB/rest/target/rest-binding-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/javax.inject/2.2.0/javax.inject-2.2.0.jar:/home/ubuntu/.m2/repository/com/github/stefanbirkner/system-rules/1.16.0/system-rules-1.16.0.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-server/2.6/jersey-server-2.6.jar:/home/ubuntu/YCSB/core/target/core-0.16.0-SNAPSHOT.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-api/2.2.0/hk2-api-2.2.0.jar:/home/ubuntu/.m2/repository/javax/ws/rs/javax.ws.rs-api/2.0/javax.ws.rs-api-2.0.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-locator/2.2.0/hk2-locator-2.2.0.jar:/home/ubuntu/.m2/repository/org/eclipse/jdt/core/compiler/ecj/4.4.2/ecj-4.4.2.jar:/home/ubuntu/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/bundles/repackaged/jersey-guava/2.6/jersey-guava-2.6.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/external/aopalliance-repackaged/2.2.0/aopalliance-repackaged-2.2.0.jar:/home/ubuntu/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/home/ubuntu/.m2/repository/javax/annotation/javax.annotation-api/1.2/javax.annotation-api-1.2.jar:/home/ubuntu/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-log4j/8.0.28/tomcat-embed-logging-log4j-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/8.0.28/tomcat-embed-el-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-logging-juli/8.0.28/tomcat-embed-logging-juli-8.0.28.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/8.0.28/tomcat-embed-core-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/osgi-resource-locator/1.0.1/osgi-resource-locator-1.0.1.jar:/home/ubuntu/.m2/repository/commons-codec/commons-codec/1.9/commons-codec-1.9.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-client/2.6/jersey-client-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/8.0.28/tomcat-embed-websocket-8.0.28.jar:/home/ubuntu/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/home/ubuntu/.m2/repository/org/glassfish/hk2/hk2-utils/2.2.0/hk2-utils-2.2.0.jar:/home/ubuntu/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/tomcat-dbcp/8.0.28/tomcat-dbcp-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/containers/jersey-container-servlet-core/2.6/jersey-container-servlet-core-2.6.jar:/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-jasper/8.0.28/tomcat-embed-jasper-8.0.28.jar:/home/ubuntu/.m2/repository/org/glassfish/jersey/core/jersey-common/2.6/jersey-common-2.6.jar:/home/ubuntu/.m2/repository/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
Command line: -db com.yahoo.ycsb.webservice.rest.RestClient -s -P workloads/rest_workload -t
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
2019-05-22 04:51:23:034 0 sec: 0 operations; est completion in 106751991167300 days 15 hours 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-05-22 04:51:32:983 10 sec: 12 operations; 1.2 current ops/sec; est completion in 20 minutes [READ: Count=12, Max=839167, Min=712192, Avg=770688, 90=835071, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-22 04:51:42:982 20 sec: 25 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=831999, Min=719872, Avg=768059.08, 90=816639, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-22 04:51:52:983 30 sec: 38 operations; 1.3 current ops/sec; est completion in 19 minutes [READ: Count=13, Max=840703, Min=706560, Avg=766877.54, 90=833023, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-22 04:52:02:982 40 sec: 51 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=823807, Min=706560, Avg=757425.23, 90=813055, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-22 04:52:12:981 50 sec: 64 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=860159, Min=704512, Avg=765420.31, 90=851967, 99=860159, 99.9=860159, 99.99=860159] 
2019-05-22 04:52:22:982 60 sec: 77 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=839167, Min=700416, Avg=765105.23, 90=837119, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-22 04:52:32:982 70 sec: 90 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=831999, Min=727040, Avg=762190.77, 90=817663, 99=831999, 99.9=831999, 99.99=831999] 
2019-05-22 04:52:42:982 80 sec: 103 operations; 1.3 current ops/sec; est completion in 18 minutes [READ: Count=13, Max=830463, Min=692224, Avg=770658.46, 90=820223, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-22 04:52:52:983 90 sec: 116 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=842239, Min=711680, Avg=770697.85, 90=841215, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-22 04:53:02:982 100 sec: 130 operations; 1.4 current ops/sec; est completion in 17 minutes [READ: Count=14, Max=823807, Min=705536, Avg=757760, 90=799743, 99=823807, 99.9=823807, 99.99=823807] 
2019-05-22 04:53:12:981 110 sec: 143 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=843263, Min=722432, Avg=769083.08, 90=823807, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-22 04:53:22:982 120 sec: 156 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=849919, Min=715776, Avg=770461.54, 90=844287, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-22 04:53:32:982 130 sec: 169 operations; 1.3 current ops/sec; est completion in 17 minutes [READ: Count=13, Max=825343, Min=703488, Avg=755377.23, 90=808447, 99=825343, 99.9=825343, 99.99=825343] 
2019-05-22 04:53:42:981 140 sec: 182 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=829951, Min=725504, Avg=762545.23, 90=826879, 99=829951, 99.9=829951, 99.99=829951] 
2019-05-22 04:53:52:982 150 sec: 195 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=836607, Min=725504, Avg=764593.23, 90=828415, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-22 04:54:02:982 160 sec: 208 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=817151, Min=728576, Avg=769004.31, 90=815103, 99=817151, 99.9=817151, 99.99=817151] 
2019-05-22 04:54:12:982 170 sec: 221 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=830463, Min=716288, Avg=765774.77, 90=825855, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-22 04:54:22:982 180 sec: 234 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=825855, Min=726016, Avg=760930.46, 90=812031, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-22 04:54:32:981 190 sec: 247 operations; 1.3 current ops/sec; est completion in 16 minutes [READ: Count=13, Max=828415, Min=728576, Avg=763569.23, 90=809983, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-22 04:54:42:982 200 sec: 260 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=845311, Min=718848, Avg=768689.23, 90=841215, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-22 04:54:52:982 210 sec: 273 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=833023, Min=729600, Avg=769043.69, 90=816639, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-22 04:55:02:983 220 sec: 286 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=815103, Min=724992, Avg=762308.92, 90=808959, 99=815103, 99.9=815103, 99.99=815103] 
2019-05-22 04:55:12:982 230 sec: 299 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=824319, Min=677888, Avg=763687.38, 90=823807, 99=824319, 99.9=824319, 99.99=824319] 
2019-05-22 04:55:22:982 240 sec: 313 operations; 1.4 current ops/sec; est completion in 15 minutes [READ: Count=14, Max=819711, Min=715264, Avg=765220.57, 90=814079, 99=819711, 99.9=819711, 99.99=819711] 
2019-05-22 04:55:32:983 250 sec: 326 operations; 1.3 current ops/sec; est completion in 15 minutes [READ: Count=13, Max=818687, Min=722944, Avg=757031.38, 90=811519, 99=818687, 99.9=818687, 99.99=818687] 
2019-05-22 04:55:42:982 260 sec: 339 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=851455, Min=691200, Avg=772155.08, 90=831487, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-22 04:55:52:982 270 sec: 351 operations; 1.2 current ops/sec; est completion in 14 minutes [READ: Count=12, Max=883199, Min=719872, Avg=779648, 90=821759, 99=883199, 99.9=883199, 99.99=883199] 
2019-05-22 04:56:02:981 280 sec: 364 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=849919, Min=716288, Avg=772785.23, 90=838655, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-22 04:56:12:983 290 sec: 378 operations; 1.4 current ops/sec; est completion in 14 minutes [READ: Count=14, Max=822271, Min=698880, Avg=756443.43, 90=792063, 99=822271, 99.9=822271, 99.99=822271] 
2019-05-22 04:56:22:982 300 sec: 391 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=826879, Min=697344, Avg=758331.08, 90=818175, 99=826879, 99.9=826879, 99.99=826879] 
2019-05-22 04:56:32:982 310 sec: 404 operations; 1.3 current ops/sec; est completion in 14 minutes [READ: Count=13, Max=836095, Min=705024, Avg=772194.46, 90=836095, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-22 04:56:42:982 320 sec: 417 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=838143, Min=719360, Avg=763411.69, 90=803839, 99=838143, 99.9=838143, 99.99=838143] 
2019-05-22 04:56:52:982 330 sec: 430 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=875007, Min=705536, Avg=769555.69, 90=844799, 99=875007, 99.9=875007, 99.99=875007] 
2019-05-22 04:57:02:982 340 sec: 443 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=856575, Min=682496, Avg=767232, 90=842239, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-22 04:57:12:981 350 sec: 456 operations; 1.3 current ops/sec; est completion in 13 minutes [READ: Count=13, Max=875007, Min=707072, Avg=786412.31, 90=822783, 99=875007, 99.9=875007, 99.99=875007] 
